varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,1,1,32.0,1024,1,99.94,118.78,5741.609459,95.69,50434.53,0.75
2,32,2,1,32.0,1024,1,99.94,116.82,3256.275027,54.27,50434.52,1.32
4,32,4,1,32.0,1024,1,99.94,116.73,1753.667092,29.23,50434.74,2.45
8,32,8,1,32.0,1024,1,99.94,115.98,1226.902279,20.45,50434.81,3.50
16,32,16,1,32.0,1024,1,99.94,115.00,782.316656,13.04,50435.04,5.49
32,32,32,1,32.0,1024,1,99.94,114.94,553.445669,9.22,50435.32,7.76
64,32,64,1,32.0,1024,1,99.94,114.17,433.183281,7.22,50436.21,9.91
128,32,128,1,32.0,1024,1,99.94,113.44,379.015718,6.32,50438.04,11.33
256,32,256,1,32.0,1024,1,99.94,112.07,357.928504,5.97,50441.66,12.00
384,32,384,1,32.0,1024,1,99.94,111.38,354.100470,5.90,50445.19,12.13
