varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,1,1,32.0,1024,1,99.94,797.16,5473.011790,91.22,50434.67,0.78
2,32,2,1,32.0,1024,1,99.94,749.28,3008.198655,50.14,50434.71,1.43
4,32,4,1,32.0,1024,1,99.94,748.68,1525.721658,25.43,50434.76,2.82
8,32,8,1,32.0,1024,1,99.94,707.33,999.260469,16.65,50434.77,4.30
16,32,16,1,32.0,1024,1,99.94,748.79,543.955629,9.07,50434.88,7.90
32,32,32,1,32.0,1024,1,99.94,767.62,306.995548,5.12,50435.45,13.99
64,32,64,1,32.0,1024,1,99.94,763.13,186.981448,3.12,50436.33,22.97
128,32,128,1,32.0,1024,1,99.94,699.62,134.985987,2.25,50438.21,31.82
256,32,256,1,32.0,1024,1,99.94,613.99,120.924252,2.02,50441.67,35.52
384,32,384,1,32.0,1024,1,99.94,478.29,127.512153,2.13,50445.20,33.68
