varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,1,1,32.0,1024,1,99.94,893.01,5507.502000,91.79,50434.56,0.78
2,32,2,1,32.0,1024,1,99.94,832.79,3045.300446,50.76,50434.61,1.41
4,32,4,1,32.0,1024,1,99.94,791.13,1707.930694,28.47,50434.76,2.51
8,32,8,1,32.0,1024,1,99.94,756.88,1009.088137,16.82,50434.82,4.26
16,32,16,1,32.0,1024,1,99.94,762.25,552.802367,9.21,50434.88,7.77
32,32,32,1,32.0,1024,1,99.94,671.79,315.782789,5.26,50435.43,13.60
64,32,64,1,32.0,1024,1,99.94,743.39,191.892039,3.20,50436.21,22.38
128,32,128,1,32.0,1024,1,99.94,823.84,127.309542,2.12,50438.04,33.74
256,32,256,1,32.0,1024,1,99.94,559.28,122.306546,2.04,50441.62,35.12
384,32,384,1,32.0,1024,1,99.94,721.23,103.999556,1.73,50445.39,41.30
