APPROACH,K,sizeof(MemoRecord),num_threads,MEMORY_SIZE(MB),file_size(GB),BATCH_SIZE,total_throughput(MH/s),total_throughput(MB/s),elapsed_time_hash_total,elapsed_time_hash2_total,elapsed_time_io_total,elapsed_time_shuffle_total,other_time,elapsed_time,storage_efficiency
for,29,4,64,512,2.00,1024,1,3.94,15.75,11.16,11.22,89.49,0.00,35.66,136.31,63.99%
for,29,4,64,512,2.00,1024,1,3.87,15.46,10.35,10.89,92.99,0.00,35.54,138.88,63.98%
for,29,4,64,512,2.00,1024,1,3.88,15.52,11.00,11.38,92.22,0.00,35.11,138.34,63.99%
for,29,4,64,512,2.00,1024,1024,4.13,16.51,10.74,10.60,83.87,0.00,35.42,130.04,63.99%
for,29,4,64,512,2.00,1024,1024,4.06,16.23,10.06,10.87,87.92,0.00,34.37,132.36,63.99%
for,29,4,64,512,2.00,1024,1024,4.06,16.26,11.27,10.62,85.98,0.00,34.84,132.09,63.98%
for,29,4,64,512,2.00,1024,2048,4.12,16.49,10.76,10.92,85.96,0.00,33.48,130.20,63.99%
for,29,4,64,512,2.00,1024,2048,4.15,16.60,10.37,10.75,83.51,0.00,35.45,129.33,63.99%
for,29,4,64,512,2.00,1024,2048,4.14,16.55,10.02,10.92,85.82,0.00,33.91,129.75,63.99%
for,29,4,64,512,2.00,1024,4096,4.11,16.46,9.69,10.35,87.51,0.00,33.31,130.51,63.99%
for,29,4,64,512,2.00,1024,4096,4.11,16.44,10.60,11.05,85.32,0.00,34.67,130.59,63.99%
for,29,4,64,512,2.00,1024,4096,4.15,16.60,15.00,10.79,80.92,0.00,33.42,129.35,63.99%
for,29,4,64,512,2.00,1024,8192,4.06,16.25,10.00,10.83,87.93,0.00,34.23,132.16,63.98%
for,29,4,64,512,2.00,1024,8192,4.12,16.48,10.88,10.96,84.60,0.00,34.80,130.29,63.99%
for,29,4,64,512,2.00,1024,8192,4.10,16.42,14.06,10.76,82.70,0.00,34.04,130.80,63.98%
for,29,4,64,512,2.00,1024,16384,4.09,16.36,10.61,11.07,86.01,0.00,34.65,131.27,63.98%
for,29,4,64,512,2.00,1024,16384,4.07,16.29,10.86,10.65,87.22,0.00,33.78,131.85,63.99%
for,29,4,64,512,2.00,1024,16384,4.07,16.29,10.72,11.02,86.12,0.00,35.01,131.85,63.98%
for,29,4,64,512,2.00,1024,32768,4.05,16.21,10.84,10.94,86.86,0.00,34.77,132.47,63.99%
for,29,4,64,512,2.00,1024,32768,4.11,16.44,11.69,11.21,84.49,0.00,34.45,130.64,63.99%
for,29,4,64,512,2.00,1024,32768,4.11,16.46,10.18,10.63,85.96,0.00,34.36,130.50,63.98%
for,29,4,64,512,2.00,1024,65536,4.03,16.10,10.40,11.09,87.24,0.00,35.70,133.35,63.99%
for,29,4,64,512,2.00,1024,65536,4.10,16.38,10.69,10.91,86.77,0.00,33.64,131.10,63.99%
for,29,4,64,512,2.00,1024,65536,3.99,15.97,10.60,11.01,88.85,0.00,35.01,134.46,63.99%
for,29,4,64,512,2.00,1024,131072,4.05,16.18,10.62,10.75,86.18,0.00,35.91,132.72,63.99%
for,29,4,64,512,2.00,1024,131072,4.04,16.16,10.25,10.42,88.10,0.00,34.51,132.85,63.99%
for,29,4,64,512,2.00,1024,131072,4.07,16.29,11.07,10.90,86.44,0.00,34.28,131.79,63.99%
for,29,4,64,512,2.00,1024,262144,3.99,15.98,9.70,10.59,90.15,0.00,34.53,134.39,63.99%
for,29,4,64,512,2.00,1024,262144,4.12,16.48,10.07,10.66,86.55,0.00,33.69,130.31,63.99%
for,29,4,64,512,2.00,1024,262144,4.08,16.30,10.81,10.98,86.24,0.00,34.69,131.74,63.99%
for,29,4,64,512,2.00,1024,524288,4.03,16.12,11.39,11.12,88.62,0.00,33.17,133.18,63.98%
for,29,4,64,512,2.00,1024,524288,3.99,15.94,10.44,10.91,89.32,0.00,34.96,134.72,63.98%
for,29,4,64,512,2.00,1024,524288,3.98,15.93,11.28,10.92,88.08,0.00,35.46,134.83,63.98%
for,29,4,64,512,2.00,1024,1048576,4.00,15.98,11.23,11.12,88.21,0.00,34.90,134.35,63.99%
for,29,4,64,512,2.00,1024,1048576,4.08,16.30,11.30,10.63,86.41,0.00,34.00,131.72,63.99%
for,29,4,64,512,2.00,1024,1048576,4.01,16.06,11.47,10.68,88.20,0.00,34.09,133.75,63.99%
for,29,4,64,512,2.00,1024,2097152,4.01,16.04,11.16,10.89,87.83,0.00,34.88,133.88,63.98%
for,29,4,64,512,2.00,1024,2097152,4.04,16.18,13.62,10.55,85.25,0.00,33.85,132.73,63.99%
for,29,4,64,512,2.00,1024,2097152,4.01,16.04,11.68,10.36,88.35,0.00,33.84,133.87,63.99%
for,29,4,64,512,2.00,1024,4194304,4.10,16.40,9.99,10.90,87.86,0.00,33.12,130.97,63.98%
for,29,4,64,512,2.00,1024,4194304,3.95,15.81,10.04,10.64,92.56,0.00,33.21,135.81,63.99%
for,29,4,64,512,2.00,1024,4194304,4.01,16.04,10.10,10.97,89.07,0.00,34.71,133.88,63.99%
for,29,4,64,512,2.00,1024,8388608,3.92,15.69,10.19,10.87,91.07,0.00,35.64,136.90,63.99%
for,29,4,64,512,2.00,1024,8388608,4.03,16.13,10.10,10.81,88.94,0.00,34.07,133.11,63.99%
for,29,4,64,512,2.00,1024,8388608,3.94,15.78,9.99,10.72,90.87,0.00,35.26,136.12,63.98%
for,29,4,64,512,2.00,1024,16777216,4.04,16.14,11.46,10.52,87.79,0.00,33.78,133.03,63.99%
for,29,4,64,512,2.00,1024,16777216,3.96,15.85,11.13,11.40,89.29,0.00,35.06,135.49,63.98%
for,29,4,64,512,2.00,1024,16777216,3.95,15.82,11.24,10.84,89.01,0.00,35.49,135.75,64.00%
