approach,K,record_size,num_threads,memory_mb,file_size_gb,batch_size,write_batch_size,throughput_mhs,throughput_mbs,hash_time,hash2_time,io_time,io2_time,other_time,total_time,match_percentage,storage_efficiency
for,25,4,128,128,0.12,1024,16384,13.12,52.48,0.81,0.35,0.28,0.00,1.47,2.56,22.28%,21.69%
for,26,4,128,256,0.25,1024,16384,19.62,78.48,1.07,0.95,0.54,0.00,1.82,3.42,45.19%,43.92%
for,27,4,128,512,0.50,1024,16384,25.95,103.79,1.57,2.21,1.04,0.00,2.56,5.17,62.80%,61.23%
for,28,4,128,1024,1.00,1024,16384,28.55,114.21,2.20,5.21,2.97,0.00,4.23,9.40,75.01%,73.47%
for,29,4,128,2048,2.00,1024,16384,28.66,114.62,4.34,11.11,6.26,0.00,8.13,18.74,83.20%,81.85%
for,30,4,128,4096,4.00,1024,16384,32.75,130.98,7.59,20.63,11.58,0.00,13.61,32.79,88.61%,87.51%
for,31,4,128,8192,8.00,1024,16384,37.11,148.43,13.67,44.61,15.32,0.00,28.89,57.87,92.22%,91.36%
for,32,4,128,16384,16.00,1024,16384,37.54,150.14,27.29,91.28,29.65,0.00,57.48,114.42,94.64%,93.99%
for,33,5,128,40960,40.00,1024,16384,33.92,169.60,61.20,194.17,65.47,0.00,126.56,253.23,96.29%,95.81%
for,34,5,128,81920,80.00,1024,16384,31.42,157.10,124.06,382.69,168.30,0.00,254.42,546.78,97.41%,97.06%
for,35,5,128,163840,160.00,1024,16384,
