APPROACH,K,sizeof(MemoRecord),num_threads,MEMORY_SIZE(MB),file_size(GB),BATCH_SIZE,total_throughput(MH/s),total_throughput(MB/s),elapsed_time_hash_total,elapsed_time_hash2_total,elapsed_time_io_total,elapsed_time_shuffle_total,other_time,elapsed_time,storage_efficiency
for,29,4,64,512,2.00,1024,1,2.45,9.79,42.49,104.18,45.05,0.00,131.74,219.28,64.00%
for,29,4,64,512,2.00,1024,1024,2.48,9.94,42.89,104.23,41.20,0.00,132.03,216.11,63.99%
for,29,4,64,512,2.00,1024,1024,2.43,9.74,43.00,104.02,46.19,0.00,131.33,220.52,63.99%
for,29,4,64,512,2.00,1024,1024,2.43,9.70,42.77,103.19,47.10,0.00,131.45,221.32,63.99%
for,29,4,64,512,2.00,1024,2048,2.38,9.50,42.67,103.38,51.10,0.00,132.16,225.93,63.99%
for,29,4,64,512,2.00,1024,2048,2.43,9.71,43.18,103.27,45.94,0.00,131.94,221.06,63.99%
for,29,4,64,512,2.00,1024,2048,2.47,9.89,41.54,103.57,43.61,0.00,131.91,217.06,63.99%
for,29,4,64,512,2.00,1024,4096,2.51,10.03,43.05,102.96,39.34,0.00,131.63,214.02,63.99%
for,29,4,64,512,2.00,1024,4096,2.49,9.96,43.46,102.94,41.73,0.00,130.46,215.64,63.99%
for,29,4,64,512,2.00,1024,4096,2.48,9.90,43.38,104.09,40.91,0.00,132.54,216.82,64.00%
for,29,4,64,512,2.00,1024,8192,2.48,9.93,43.20,104.10,41.02,0.00,132.10,216.33,63.99%
for,29,4,64,512,2.00,1024,8192,2.49,9.97,42.26,103.18,42.07,0.00,131.15,215.48,63.99%
for,29,4,64,512,2.00,1024,8192,2.49,9.97,43.48,103.95,40.06,0.00,131.92,215.47,63.99%
for,29,4,64,512,2.00,1024,16384,2.45,9.79,42.19,103.55,45.54,0.00,131.55,219.27,63.99%
for,29,4,64,512,2.00,1024,16384,2.41,9.65,45.90,102.76,46.08,0.00,130.57,222.55,63.98%
for,29,4,64,512,2.00,1024,16384,2.49,9.96,43.03,104.10,40.76,0.00,131.89,215.69,63.99%
for,29,4,64,512,2.00,1024,32768,2.43,9.73,42.16,103.47,47.70,0.00,130.92,220.78,63.99%
for,29,4,64,512,2.00,1024,32768,2.48,9.92,42.72,104.16,42.17,0.00,131.66,216.54,63.99%
for,29,4,64,512,2.00,1024,32768,2.47,9.87,41.80,102.98,45.35,0.00,130.34,217.49,63.99%
for,29,4,64,512,2.00,1024,65536,2.44,9.77,42.88,103.99,45.60,0.00,131.36,219.84,63.99%
for,29,4,64,512,2.00,1024,65536,2.51,10.04,42.20,104.16,40.01,0.00,131.76,213.97,63.99%
for,29,4,64,512,2.00,1024,65536,2.48,9.92,42.26,104.25,42.98,0.00,131.22,216.46,63.98%
for,29,4,64,512,2.00,1024,131072,2.45,9.79,43.24,103.23,45.04,0.00,131.10,219.39,63.99%
for,29,4,64,512,2.00,1024,131072,2.40,9.61,43.06,103.64,47.83,0.00,132.50,223.39,63.99%
for,29,4,64,512,2.00,1024,131072,2.44,9.76,43.36,103.44,45.13,0.00,131.57,220.06,63.99%
for,29,4,64,512,2.00,1024,262144,2.48,9.93,43.26,104.17,41.70,0.00,131.22,216.18,63.99%
for,29,4,64,512,2.00,1024,262144,2.41,9.64,42.85,104.33,47.96,0.00,132.04,222.85,63.99%
for,29,4,64,512,2.00,1024,262144,2.49,9.97,42.76,104.29,40.57,0.00,131.99,215.32,63.99%
for,29,4,64,512,2.00,1024,524288,2.49,9.95,42.80,104.03,40.82,0.00,132.19,215.81,63.99%
for,29,4,64,512,2.00,1024,524288,2.45,9.78,42.43,103.24,45.82,0.00,131.29,219.54,63.99%
for,29,4,64,512,2.00,1024,524288,2.45,9.80,43.07,103.66,44.64,0.00,131.45,219.17,63.99%
for,29,4,64,512,2.00,1024,1048576,2.47,9.88,43.62,103.18,41.62,0.00,132.19,217.43,63.99%
for,29,4,64,512,2.00,1024,1048576,2.45,9.79,41.81,104.22,44.47,0.00,133.01,219.29,63.99%
for,29,4,64,512,2.00,1024,1048576,2.43,9.71,43.04,103.67,46.84,0.00,131.27,221.15,63.98%
for,29,4,64,512,2.00,1024,2097152,2.41,9.63,42.98,103.68,47.80,0.00,132.28,223.06,63.98%
for,29,4,64,512,2.00,1024,2097152,2.50,9.99,42.97,104.03,40.46,0.00,131.45,214.89,63.99%
for,29,4,64,512,2.00,1024,2097152,2.40,9.61,42.87,103.48,49.19,0.00,131.40,223.46,63.99%
for,29,4,64,512,2.00,1024,4194304,2.48,9.93,43.05,104.01,41.45,0.00,131.82,216.33,63.99%
for,29,4,64,512,2.00,1024,4194304,2.40,9.61,41.49,103.51,50.78,0.00,131.31,223.58,63.99%
for,29,4,64,512,2.00,1024,4194304,2.44,9.75,42.91,103.24,45.46,0.00,131.79,220.16,63.99%
for,29,4,64,512,2.00,1024,8388608,2.41,9.64,42.99,103.62,48.05,0.00,131.64,222.68,63.99%
for,29,4,64,512,2.00,1024,8388608,2.48,9.94,42.77,103.95,42.57,0.00,130.78,216.13,64.00%
for,29,4,64,512,2.00,1024,8388608,2.49,9.94,42.93,104.18,41.15,0.00,131.95,216.03,63.99%
for,29,4,64,512,2.00,1024,16777216,2.46,9.86,41.90,104.13,43.72,0.00,132.24,217.86,63.99%
for,29,4,64,512,2.00,1024,16777216,2.48,9.92,42.34,103.95,42.03,0.00,132.05,216.41,63.99%
for,29,4,64,512,2.00,1024,16777216,2.49,9.94,42.83,102.92,41.60,0.00,131.57,216.00,63.98%
