time,relative_time,system_cpu_user,system_cpu_system,system_cpu_total,system_mem_rss_total,system_io_read,system_io_write,system_process_count,vaultx_cpu_user,vaultx_cpu_system,vaultx_cpu_total,vaultx_mem_rss,vaultx_mem_percent,vaultx_io_read,vaultx_io_write,pid
2025-08-11 20:29:17,0.495406,8.74,94.16999999999999,102.91,1236228.0,0.0,0.0,175,7.77,89.32,97.09,907264.0,11.17,0.0,0.0,38617.0
2025-08-11 20:29:18,1.495406,60.0,47.0,107.0,1641604.0,0.0,0.0,175,58.0,43.0,101.0,1312640.0,16.16,0.0,0.0,38617.0
2025-08-11 20:29:19,2.495406,263.0,62.0,325.0,1969284.0,0.0,0.0,175,261.0,60.0,321.0,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:20,3.495406,398.0,3.0,401.0,1969284.0,0.0,124.0,175,398.0,0.0,398.0,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:21,4.495406,396.0,3.0,399.0,1969284.0,0.0,0.0,175,395.0,0.0,395.0,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:22,5.495406,399.0,2.0,401.0,1969284.0,0.0,0.0,175,397.0,0.0,397.0,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:23,6.495406,398.0,1.0,399.0,1969284.0,4.0,20.0,175,398.0,0.0,398.0,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:24,7.495406,396.0,3.0,399.0,1969284.0,0.0,0.0,175,395.0,0.0,395.0,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:25,8.495406,400.0,3.0,403.0,1969284.0,0.0,0.0,175,399.0,0.0,399.0,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:26,9.495406,399.0,2.0,401.0,1969284.0,0.0,0.0,175,398.0,0.0,398.0,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:27,10.495406,399.0,3.0,402.0,1969284.0,0.0,0.0,175,398.0,0.0,398.0,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:28,11.495406,387.0,2.0,389.0,1969284.0,0.0,0.0,175,386.0,0.0,386.0,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:29,12.495406,58.0,48.0,106.0,1969284.0,0.0,327680.0,175,55.0,46.0,101.0,1640320.0,20.19,0.0,327680.0,38617.0
2025-08-11 20:29:30,13.495406,204.95000000000002,2.9699999999999998,207.92,1969284.0,0.0,0.0,175,202.97,0.0,202.97,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:31,14.495406,398.0,1.0,399.0,1969284.0,0.0,0.0,175,398.0,0.0,398.0,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:32,15.495406,400.0,2.0,402.0,1969284.0,0.0,4.0,175,398.0,0.0,398.0,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:33,16.495406,393.07,6.93,400.0,1969284.0,0.0,0.0,175,391.09,0.0,391.09,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:34,17.495406,397.0,3.0,400.0,1969284.0,0.0,0.0,175,397.0,0.0,397.0,1640320.0,20.19,0.0,0.0,38617.0
2025-08-11 20:29:35,18.495406,400.0,2.0,402.0,1969284.0,0.0,0.0,175,399.0,0.0,399.0,1640320.0,20.19,0.0,0.0,38617.0
