APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,256,128,0.12,1024,5.98,23.93,1.75,1.61,0.00,2.26,5.61,21.69
for,25,4,256,128,0.12,1024,5.95,23.82,1.73,1.62,0.00,2.28,5.63,21.69
for,25,4,256,128,0.12,1024,5.99,23.97,1.72,1.61,0.00,2.28,5.60,21.69
for,26,4,256,256,0.25,1024,8.94,35.74,2.59,2.53,0.00,2.40,7.51,43.92
for,26,4,256,256,0.25,1024,7.91,31.62,2.66,3.30,0.00,2.53,8.49,43.92
for,26,4,256,256,0.25,1024,8.32,33.29,2.49,2.92,0.00,2.65,8.06,43.92
for,27,4,256,512,0.50,1024,12.29,49.15,3.61,4.15,0.00,3.16,10.92,61.24
for,27,4,256,512,0.50,1024,12.53,50.12,3.84,3.92,0.00,2.96,10.71,61.24
for,27,4,256,512,0.50,1024,11.16,44.63,3.89,4.84,0.00,3.30,12.03,61.23
for,28,4,256,1024,1.00,1024,13.68,54.74,4.98,10.32,0.00,4.31,19.62,73.48
for,28,4,256,1024,1.00,1024,16.25,64.99,4.76,7.51,0.00,4.25,16.52,73.48
for,28,4,256,1024,1.00,1024,15.03,60.11,5.40,8.40,0.00,4.06,17.86,73.48
for,29,4,256,2048,2.00,1024,19.57,78.30,7.28,13.93,0.00,6.22,27.43,81.85
for,29,4,256,2048,2.00,1024,19.81,79.23,7.03,13.87,0.00,6.21,27.10,81.85
for,29,4,256,2048,2.00,1024,15.51,62.05,7.20,20.84,0.00,6.57,34.61,81.85
for,30,4,256,4096,4.00,1024,20.06,80.22,11.61,30.96,0.00,10.96,53.54,87.43
for,30,4,256,4096,4.00,1024,23.05,92.21,11.84,23.70,0.00,11.05,46.58,87.44
for,30,4,256,4096,4.00,1024,22.21,88.85,11.55,26.44,0.00,10.35,48.34,87.43
for,31,4,256,8192,8.00,1024,26.52,106.08,21.96,39.52,0.00,19.50,80.98,90.83
for,31,4,256,8192,8.00,1024,24.99,99.96,23.25,43.95,0.00,18.73,85.93,90.83
for,31,4,256,8192,8.00,1024,19.96,79.82,21.41,67.51,0.00,18.70,107.61,90.83
for,32,5,256,20480,20.00,1024,20.01,100.04,38.01,130.98,0.00,45.66,214.66,94.00
for,32,5,256,20480,20.00,1024,23.99,119.95,42.17,89.06,0.00,47.81,179.04,94.00
for,32,5,256,20480,20.00,1024,18.08,90.41,42.12,149.94,0.00,45.47,237.53,94.00
for,33,5,256,40960,40.00,1024,23.52,117.60,84.82,187.90,0.00,92.48,365.21,95.81
for,33,5,256,40960,40.00,1024,24.14,120.71,74.03,184.80,0.00,96.97,355.80,95.81
for,33,5,256,40960,40.00,1024,23.16,115.79,86.39,187.38,0.00,97.16,370.94,95.81
for,34,5,256,81920,80.00,1024,25.69,128.46,146.15,328.39,0.00,194.15,668.69,97.06
