APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,256,128,0.12,1024,5.57,22.30,1.76,1.89,0.00,2.37,6.02,21.69
for,25,4,256,128,0.12,1024,6.01,24.05,1.67,1.58,0.00,2.33,5.58,21.68
for,25,4,256,128,0.12,1024,6.07,24.27,1.68,1.63,0.00,2.22,5.53,21.68
for,26,4,256,256,0.25,1024,9.14,36.57,2.49,2.45,0.00,2.39,7.34,43.92
for,26,4,256,256,0.25,1024,9.12,36.50,2.49,2.47,0.00,2.39,7.35,43.93
for,26,4,256,256,0.25,1024,9.06,36.25,2.53,2.49,0.00,2.38,7.41,43.92
for,27,4,256,512,0.50,1024,11.79,47.14,3.88,4.50,0.00,3.01,11.39,61.23
for,27,4,256,512,0.50,1024,12.70,50.81,3.66,3.79,0.00,3.11,10.57,61.24
for,27,4,256,512,0.50,1024,12.34,49.34,3.87,4.08,0.00,2.93,10.88,61.24
for,28,4,256,1024,1.00,1024,14.56,58.24,5.40,8.33,0.00,4.71,18.44,73.48
for,28,4,256,1024,1.00,1024,14.90,59.62,5.11,8.53,0.00,4.37,18.01,73.48
for,28,4,256,1024,1.00,1024,15.44,61.78,5.48,7.64,0.00,4.25,17.38,73.48
for,29,4,256,2048,2.00,1024,14.95,59.79,7.49,21.82,0.00,6.60,35.91,81.85
for,29,4,256,2048,2.00,1024,18.76,75.05,7.53,14.31,0.00,6.77,28.62,81.85
for,29,4,256,2048,2.00,1024,19.69,78.75,7.19,13.93,0.00,6.15,27.27,81.85
for,30,4,256,4096,4.00,1024,21.36,85.42,11.82,28.09,0.00,10.37,50.28,87.43
for,30,4,256,4096,4.00,1024,21.66,86.66,12.86,25.60,0.00,11.10,49.56,87.43
for,30,4,256,4096,4.00,1024,22.53,90.11,11.86,25.41,0.00,10.40,47.66,87.43
for,31,4,256,8192,8.00,1024,25.99,103.95,21.01,42.62,0.00,19.00,82.64,90.83
for,31,4,256,8192,8.00,1024,22.24,88.98,21.19,55.30,0.00,20.05,96.54,90.83
for,31,4,256,8192,8.00,1024,24.86,99.44,22.02,44.14,0.00,20.22,86.38,90.83
for,32,5,256,20480,20.00,1024,17.60,87.99,41.01,155.71,0.00,47.33,244.05,94.00
for,32,5,256,20480,20.00,1024,22.72,113.60,44.10,97.60,0.00,47.34,189.04,93.99
for,32,5,256,20480,20.00,1024,18.36,91.78,43.27,146.77,0.00,43.95,233.99,94.00
