APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,IO2_TIME,REST_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,256,128,0.12,1024,5.81,23.25,1.68,1.79,0.00,2.31,5.77,21.68
for,25,4,256,128,0.12,1024,5.22,20.87,1.78,2.28,0.00,2.37,6.43,21.68
for,25,4,256,128,0.12,1024,5.72,22.86,1.78,1.75,0.00,2.34,5.87,21.68
for,26,4,256,256,0.25,1024,9.12,36.47,2.45,2.49,0.00,2.42,7.36,43.92
for,26,4,256,256,0.25,1024,8.96,35.83,2.50,2.57,0.00,2.42,7.49,43.93
for,26,4,256,256,0.25,1024,8.91,35.65,2.57,2.56,0.00,2.40,7.53,43.92
for,27,4,256,512,0.50,1024,11.74,46.96,3.72,4.63,0.00,3.08,11.43,61.23
for,27,4,256,512,0.50,1024,11.85,47.42,3.72,4.30,0.00,3.30,11.32,61.23
for,27,4,256,512,0.50,1024,12.36,49.44,3.70,4.23,0.00,2.93,10.86,61.23
for,28,4,256,1024,1.00,1024,14.61,58.46,5.19,9.07,0.00,4.11,18.37,73.48
for,28,4,256,1024,1.00,1024,14.97,59.89,5.18,8.44,0.00,4.31,17.93,73.48
