FILENAME,NUM_THREADS,FILE_SIZE(GB),NUM_BUCKETS_SEARCH,NUM_RECORDS_IN_BUCKET,NUM_LOOKUPS,SEARCH_SIZE,FOUND_RECORDS,NOT_FOUND_RECORDS,TOTAL_TIME,TIME_PER_LOOKUP
/data-l/varvara/memo.xx,128,268435456,16777216,2,1024,3,379,645,4.04,3.94
/data-l/varvara/memo.xx,128,268435456,16777216,2,1024,4,2,1022,3.78,3.69
/data-l/varvara/memo.xx,128,268435456,16777216,2,1024,8,0,1024,3.85,3.76
/data-l/varvara/memo.xx,128,268435456,16777216,2,1024,16,0,1024,3.89,3.79
/data-l/varvara/memo.xx,128,268435456,16777216,2,1024,32,0,1024,3.93,3.84
/data-l/varvara/memo.xx,128,536870912,16777216,4,1024,3,863,161,5.42,5.29
/data-l/varvara/memo.xx,128,536870912,16777216,4,1024,4,10,1014,5.19,5.07
/data-l/varvara/memo.xx,128,536870912,16777216,4,1024,8,0,1024,5.51,5.38
/data-l/varvara/memo.xx,128,536870912,16777216,4,1024,16,0,1024,5.26,5.14
/data-l/varvara/memo.xx,128,536870912,16777216,4,1024,32,0,1024,5.70,5.57
/data-l/varvara/memo.xx,128,1073741824,16777216,8,1024,3,1015,9,6.16,6.02
/data-l/varvara/memo.xx,128,1073741824,16777216,8,1024,4,16,1008,6.32,6.17
/data-l/varvara/memo.xx,128,1073741824,16777216,8,1024,8,0,1024,6.37,6.23
/data-l/varvara/memo.xx,128,1073741824,16777216,8,1024,16,0,1024,6.22,6.07
/data-l/varvara/memo.xx,128,1073741824,16777216,8,1024,32,0,1024,6.12,5.98
/data-l/varvara/memo.xx,128,2147483648,16777216,16,1024,3,1024,0,6.67,6.51
/data-l/varvara/memo.xx,128,2147483648,16777216,16,1024,4,45,979,6.61,6.45
/data-l/varvara/memo.xx,128,2147483648,16777216,16,1024,8,0,1024,6.68,6.52
/data-l/varvara/memo.xx,128,2147483648,16777216,16,1024,16,0,1024,6.70,6.54
/data-l/varvara/memo.xx,128,2147483648,16777216,16,1024,32,0,1024,6.81,6.65
/data-l/varvara/memo.xx,128,4294967296,16777216,32,1024,3,1024,0,6.85,6.69
/data-l/varvara/memo.xx,128,4294967296,16777216,32,1024,4,84,940,6.72,6.56
/data-l/varvara/memo.xx,128,4294967296,16777216,32,1024,8,0,1024,6.79,6.63
/data-l/varvara/memo.xx,128,4294967296,16777216,32,1024,16,0,1024,6.74,6.59
/data-l/varvara/memo.xx,128,4294967296,16777216,32,1024,32,0,1024,6.91,6.74
/data-l/varvara/memo.xx,128,8589934592,16777216,64,1024,3,1024,0,6.82,6.66
/data-l/varvara/memo.xx,128,8589934592,16777216,64,1024,4,189,835,6.82,6.66
/data-l/varvara/memo.xx,128,8589934592,16777216,64,1024,8,0,1024,6.84,6.68
/data-l/varvara/memo.xx,128,8589934592,16777216,64,1024,16,0,1024,6.87,6.71
/data-l/varvara/memo.xx,128,8589934592,16777216,64,1024,32,0,1024,6.71,6.55
/data-l/varvara/memo.xx,128,17179869184,16777216,128,1024,3,1024,0,7.14,6.98
/data-l/varvara/memo.xx,128,17179869184,16777216,128,1024,4,298,726,7.04,6.87
/data-l/varvara/memo.xx,128,17179869184,16777216,128,1024,8,0,1024,6.75,6.60
/data-l/varvara/memo.xx,128,17179869184,16777216,128,1024,16,0,1024,6.98,6.82
/data-l/varvara/memo.xx,128,17179869184,16777216,128,1024,32,0,1024,6.97,6.81
/data-l/varvara/memo.xx,128,42949672960,16777216,256,1024,3,1024,0,7.34,7.17
/data-l/varvara/memo.xx,128,42949672960,16777216,256,1024,4,637,387,7.22,7.05
/data-l/varvara/memo.xx,128,42949672960,16777216,256,1024,8,0,1024,7.48,7.31
/data-l/varvara/memo.xx,128,42949672960,16777216,256,1024,16,0,1024,7.30,7.13
/data-l/varvara/memo.xx,128,42949672960,16777216,256,1024,32,0,1024,7.31,7.14
/data-l/varvara/memo.xx,128,85899345920,16777216,512,1024,3,1024,0,7.93,7.74
/data-l/varvara/memo.xx,128,85899345920,16777216,512,1024,4,891,133,7.87,7.68
/data-l/varvara/memo.xx,128,85899345920,16777216,512,1024,8,0,1024,7.79,7.61
/data-l/varvara/memo.xx,128,85899345920,16777216,512,1024,16,0,1024,7.80,7.61
/data-l/varvara/memo.xx,128,85899345920,16777216,512,1024,32,0,1024,8.00,7.81
/data-l/varvara/memo.xx,128,85899345920,16777216,512,1024,3,1024,0,7.93,7.74
/data-l/varvara/memo.xx,128,85899345920,16777216,512,1024,4,880,144,8.20,8.00
/data-l/varvara/memo.xx,128,85899345920,16777216,512,1024,8,0,1024,8.23,8.04
/data-l/varvara/memo.xx,128,85899345920,16777216,512,1024,16,0,1024,8.27,8.07
/data-l/varvara/memo.xx,128,85899345920,16777216,512,1024,32,0,1024,8.14,7.95
