APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,128,128,0.12,1024,4.62,18.49,2.26,3.12,0.00,1.88,7.26,21.68
for,25,4,128,128,0.12,1024,4.41,17.62,1.99,3.59,0.00,2.03,7.62,21.68
for,25,4,128,128,0.12,1024,4.67,18.67,1.95,3.29,0.00,1.95,7.19,21.68
for,26,4,128,256,0.25,1024,5.86,23.44,3.64,5.59,0.00,2.22,11.45,43.92
for,26,4,128,256,0.25,1024,5.86,23.43,3.75,5.68,0.00,2.02,11.45,43.92
for,26,4,128,256,0.25,1024,4.94,19.74,3.76,6.72,0.00,3.12,13.60,43.93
for,27,4,128,512,0.50,1024,6.91,27.65,6.16,10.61,0.00,2.65,19.42,61.23
for,27,4,128,512,0.50,1024,6.64,26.58,6.07,11.15,0.00,2.99,20.20,61.23
for,27,4,128,512,0.50,1024,7.17,28.67,6.21,9.92,0.00,2.60,18.72,61.23
for,28,4,128,1024,1.00,1024,7.66,30.63,10.43,21.08,0.00,3.55,35.06,73.48
for,28,4,128,1024,1.00,1024,7.21,28.85,10.43,23.26,0.00,3.52,37.22,73.48
for,28,4,128,1024,1.00,1024,7.37,29.50,10.16,22.71,0.00,3.53,36.40,73.48
for,29,4,128,2048,2.00,1024,8.72,34.89,17.96,38.22,0.00,5.37,61.55,81.85
for,29,4,128,2048,2.00,1024,8.70,34.81,17.67,38.68,0.00,5.34,61.69,81.85
for,29,4,128,2048,2.00,1024,8.58,34.34,17.70,39.52,0.00,5.33,62.54,81.85
for,30,4,128,4096,4.00,1024,9.91,39.63,28.61,70.83,0.00,8.94,108.38,87.43
for,30,4,128,4096,4.00,1024,10.33,41.33,28.14,66.85,0.00,8.93,103.92,87.43
for,30,4,128,4096,4.00,1024,9.38,37.51,31.19,74.42,0.00,8.91,114.52,87.43
for,31,4,128,8192,8.00,1024,10.19,40.76,59.57,135.08,0.00,16.09,210.73,90.83
for,31,4,128,8192,8.00,1024,10.30,41.19,59.88,132.47,0.00,16.19,208.55,90.83
for,31,4,128,8192,8.00,1024,11.29,45.17,46.88,127.19,0.00,16.10,190.17,90.83
for,32,5,128,20480,20.00,1024,10.07,50.33,94.55,294.33,0.00,37.82,426.69,94.00
for,32,5,128,20480,20.00,1024,9.33,46.64,124.67,297.77,0.00,37.96,460.41,94.00
for,32,5,128,20480,20.00,1024,9.09,45.44,119.54,315.34,0.00,37.76,472.63,94.00
for,33,5,128,40960,40.00,1024,10.46,52.31,176.25,567.67,0.00,77.21,821.13,95.81
for,33,5,128,40960,40.00,1024,9.75,48.77,210.72,593.35,0.00,76.68,880.74,95.81
for,33,5,128,40960,40.00,1024,9.41,47.07,211.46,623.73,0.00,77.28,912.48,95.81
for,34,5,128,81920,80.00,1024,9.42,47.08,296.98,1373.72,0.00,153.72,1824.42,97.06
for,34,5,128,81920,80.00,1024,9.30,46.52,302.68,1390.19,0.00,153.80,1846.67,97.06
for,34,5,128,81920,80.00,1024,9.23,46.16,309.83,1396.48,0.00,154.47,1860.78,97.06
