APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,128,128,0.12,1024,4.91,19.63,2.06,2.85,0.00,1.93,6.84,21.68
for,25,4,128,128,0.12,1024,4.84,19.36,2.28,2.71,0.00,1.95,6.93,21.68
for,25,4,128,128,0.12,1024,4.93,19.72,2.17,2.70,0.00,1.94,6.81,21.68
for,26,4,128,256,0.25,1024,5.79,23.15,3.55,5.88,0.00,2.17,11.60,43.92
for,26,4,128,256,0.25,1024,5.79,23.14,3.66,5.78,0.00,2.16,11.60,43.92
for,26,4,128,256,0.25,1024,6.43,25.72,3.47,4.81,0.00,2.15,10.44,43.93
for,27,4,128,512,0.50,1024,7.35,29.38,6.23,9.45,0.00,2.59,18.27,61.24
for,27,4,128,512,0.50,1024,7.58,30.33,6.18,8.95,0.00,2.57,17.70,61.23
for,27,4,128,512,0.50,1024,7.24,28.95,6.23,9.65,0.00,2.67,18.55,61.24
for,28,4,128,1024,1.00,1024,7.98,31.92,10.57,19.55,0.00,3.52,33.64,73.48
for,28,4,128,1024,1.00,1024,7.80,31.19,10.51,20.38,0.00,3.53,34.43,73.48
for,28,4,128,1024,1.00,1024,8.03,32.12,10.68,19.24,0.00,3.50,33.42,73.48
for,29,4,128,2048,2.00,1024,9.51,38.04,17.68,33.27,0.00,5.51,56.45,81.85
for,29,4,128,2048,2.00,1024,9.99,39.96,16.26,31.80,0.00,5.69,53.75,81.85
for,29,4,128,2048,2.00,1024,9.90,39.61,16.01,32.89,0.00,5.31,54.22,81.85
for,30,4,128,4096,4.00,1024,10.31,41.26,31.25,63.85,0.00,9.00,104.10,87.43
for,30,4,128,4096,4.00,1024,10.44,41.78,33.36,60.50,0.00,8.94,102.81,87.43
for,30,4,128,4096,4.00,1024,10.80,43.21,31.04,59.39,0.00,8.97,99.40,87.44
for,31,4,128,8192,8.00,1024,11.63,46.51,62.65,105.90,0.00,16.14,184.69,90.83
for,31,4,128,8192,8.00,1024,11.00,43.99,61.44,117.34,0.00,16.49,195.28,90.83
for,31,4,128,8192,8.00,1024,10.80,43.19,64.09,118.41,0.00,16.39,198.90,90.83
for,32,5,128,20480,20.00,1024,10.15,50.76,122.56,262.44,0.00,38.09,423.09,94.00
for,32,5,128,20480,20.00,1024,11.28,56.42,111.19,231.75,0.00,37.66,380.59,94.00
for,32,5,128,20480,20.00,1024,10.36,51.78,120.53,256.05,0.00,38.16,414.75,94.00
for,33,5,128,40960,40.00,1024,11.88,59.41,207.02,440.09,0.00,75.83,722.94,95.81
for,33,5,128,40960,40.00,1024,11.75,58.74,200.55,453.94,0.00,76.67,731.15,95.81
for,33,5,128,40960,40.00,1024,11.85,59.24,200.58,448.56,0.00,75.88,725.02,95.81
