APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,128,128,0.12,1024,3.86,15.46,2.28,4.48,0.00,1.92,8.68,21.68
for,26,4,128,256,0.25,1024,5.13,20.52,3.73,7.27,0.00,2.08,13.08,43.92
for,27,4,128,512,0.50,1024,6.52,26.08,6.71,11.24,0.00,2.64,20.59,61.24
for,28,4,128,1024,1.00,1024,7.97,31.87,11.49,18.69,0.00,3.52,33.70,73.48
for,29,4,128,2048,2.00,1024,9.39,37.56,20.08,31.78,0.00,5.32,57.18,81.85
for,30,4,128,4096,4.00,1024,10.36,41.43,35.59,59.22,0.00,8.86,103.68,87.43
for,31,4,128,8192,8.00,1024,10.22,40.89,74.94,119.13,0.00,16.01,210.07,90.83
for,32,5,128,20480,20.00,1024,12.49,62.46,93.56,211.19,0.00,39.08,343.83,94.00
for,33,5,128,40960,40.00,1024,12.05,60.23,203.91,428.18,0.00,80.97,713.06,95.81
for,34,5,128,81920,80.00,1024,14.02,70.10,272.51,785.53,0.00,167.33,1225.37,97.06
