APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,128,128,0.12,1024,2.54,10.17,2.23,8.17,0.00,2.80,13.20,21.68
for,25,4,128,128,0.12,1024,3.26,13.02,2.37,5.94,0.00,1.99,10.31,21.68
for,25,4,128,128,0.12,1024,2.99,11.97,2.06,7.12,0.00,2.03,11.21,21.68
for,26,4,128,256,0.25,1024,4.09,16.34,3.44,10.76,0.00,2.22,16.42,43.92
for,26,4,128,256,0.25,1024,3.44,13.77,3.41,13.90,0.00,2.19,19.50,43.92
for,26,4,128,256,0.25,1024,3.78,15.14,3.49,12.12,0.00,2.13,17.73,43.92
for,27,4,128,512,0.50,1024,5.24,20.94,6.13,16.89,0.00,2.62,25.64,61.23
for,27,4,128,512,0.50,1024,5.40,21.59,6.13,16.12,0.00,2.62,24.87,61.23
for,27,4,128,512,0.50,1024,5.89,23.55,6.11,13.16,0.00,3.52,22.80,61.23
for,28,4,128,1024,1.00,1024,7.26,29.04,9.96,23.43,0.00,3.59,36.97,73.48
for,28,4,128,1024,1.00,1024,7.43,29.73,10.17,22.14,0.00,3.81,36.12,73.48
for,28,4,128,1024,1.00,1024,7.49,29.98,10.72,21.56,0.00,3.55,35.82,73.48
for,29,4,128,2048,2.00,1024,9.81,39.25,17.73,31.58,0.00,5.41,54.72,81.85
for,29,4,128,2048,2.00,1024,10.09,40.35,16.33,31.54,0.00,5.34,53.22,81.85
for,29,4,128,2048,2.00,1024,8.55,34.21,17.52,39.94,0.00,5.32,62.77,81.85
for,30,4,128,4096,4.00,1024,10.00,40.00,31.20,67.23,0.00,8.94,107.37,87.43
for,30,4,128,4096,4.00,1024,10.99,43.96,33.53,55.28,0.00,8.90,97.71,87.43
for,30,4,128,4096,4.00,1024,10.34,41.36,31.08,64.01,0.00,8.77,103.85,87.43
for,31,4,128,8192,8.00,1024,11.20,44.80,67.12,108.28,0.00,16.35,191.75,90.83
for,31,4,128,8192,8.00,1024,11.96,47.84,64.49,99.00,0.00,16.06,179.55,90.83
for,31,4,128,8192,8.00,1024,12.49,49.95,56.15,99.70,0.00,16.14,171.99,90.83
for,32,5,128,20480,20.00,1024,10.57,52.85,141.34,227.01,0.00,37.96,406.31,94.00
for,32,5,128,20480,20.00,1024,10.68,53.41,138.56,225.87,0.00,37.65,402.08,94.00
for,32,5,128,20480,20.00,1024,11.33,56.65,114.67,226.74,0.00,37.65,379.06,93.99
for,33,5,128,40960,40.00,1024,12.41,62.05,186.20,429.92,0.00,76.01,692.13,95.81
for,33,5,128,40960,40.00,1024,12.67,63.35,184.74,417.21,0.00,76.02,677.97,95.81
for,33,5,128,40960,40.00,1024,11.38,56.89,188.88,489.26,0.00,76.83,754.98,95.81
for,34,5,128,81920,80.00,1024,13.84,69.18,275.84,807.83,0.00,158.07,1241.74,97.06
for,34,5,128,81920,80.00,1024,13.80,69.02,292.84,789.36,0.00,162.30,1244.50,97.06
for,34,5,128,81920,80.00,1024,12.78,63.90,315.30,865.81,0.00,163.07,1344.18,97.06
