APPROACH,K,sizeof(MemoRecord),num_threads,MEMORY_SIZE(MB),file_size(GB),BATCH_SIZE,total_throughput(MH/s),total_throughput(MB/s),elapsed_time_hash_total,elapsed_time_hash2_total,elapsed_time_io_total,elapsed_time_shuffle_total,other_time,elapsed_time,storage_efficiency
for,28,4,8,512,1.00,1024,2.24,8.95,26.43,52.11,23.24,0.00,70.34,120.01,57.57%
for,28,4,8,512,1.00,1024,2.05,8.22,30.90,55.78,25.28,0.00,74.46,130.64,57.57%
for,28,4,8,512,1.00,1024,2.20,8.80,25.69,53.20,24.98,0.00,71.38,122.05,57.58%
for,28,4,8,512,1.00,1024,2.18,8.73,25.40,53.56,25.61,0.00,72.02,123.02,57.57%
for,28,4,8,1024,1.00,1024,2.66,10.64,26.22,113.49,12.84,0.00,61.87,100.93,64.40%
for,28,4,8,1024,1.00,1024,2.65,10.59,26.83,113.71,12.84,0.00,61.73,101.40,64.40%
for,28,4,8,1024,1.00,1024,2.66,10.63,26.55,113.33,12.92,0.00,61.54,101.01,64.39%
for,29,4,8,512,2.00,1024,2.20,8.78,51.73,115.32,46.64,0.00,146.20,244.57,63.99%
for,29,4,8,512,2.00,1024,2.21,8.86,51.86,116.60,43.16,0.00,147.50,242.51,63.99%
for,29,4,8,512,2.00,1024,2.15,8.61,52.04,117.79,49.53,0.00,147.79,249.36,63.99%
for,29,4,8,1024,2.00,1024,2.14,8.55,54.45,124.28,42.73,0.00,153.84,251.02,71.49%
for,29,4,8,1024,2.00,1024,2.12,8.49,52.33,124.09,48.17,0.00,152.36,252.86,71.50%
for,29,4,8,1024,2.00,1024,2.10,8.40,52.41,126.84,47.22,0.00,155.96,255.59,71.49%
for,29,4,8,2048,2.00,1024,2.49,9.95,53.46,261.51,22.68,0.00,139.64,215.78,77.04%
for,29,4,8,2048,2.00,1024,2.48,9.93,53.80,261.25,22.91,0.00,139.46,216.18,77.03%
for,29,4,8,2048,2.00,1024,2.46,9.86,53.37,263.42,23.92,0.00,140.58,217.87,77.04%
for,30,4,8,512,4.00,1024,2.24,8.94,105.84,243.43,77.02,0.00,297.37,480.23,67.19%
for,30,4,8,512,4.00,1024,2.24,8.94,105.00,244.44,75.27,0.00,300.12,480.39,67.19%
for,30,4,8,512,4.00,1024,2.25,8.99,104.63,241.86,74.18,0.00,298.94,477.75,67.19%
for,30,4,8,1024,4.00,1024,2.13,8.53,106.90,272.63,72.53,0.00,323.87,503.30,75.00%
for,30,4,8,1024,4.00,1024,2.16,8.63,106.39,268.06,71.99,0.00,319.50,497.89,75.00%
for,30,4,8,1024,4.00,1024,2.16,8.64,108.89,263.62,75.40,0.00,312.71,497.01,75.00%
for,30,4,8,2048,4.00,1024,2.09,8.37,109.62,273.23,74.16,0.00,329.47,513.25,80.81%
for,30,4,8,2048,4.00,1024,2.08,8.30,111.96,276.72,71.23,0.00,334.06,517.25,80.82%
for,30,4,8,2048,4.00,1024,2.10,8.39,109.53,272.44,70.95,0.00,331.64,512.11,80.82%
for,30,4,8,4096,4.00,1024,2.39,9.56,110.18,571.52,40.25,0.00,298.68,449.11,85.05%
for,30,4,8,4096,4.00,1024,2.39,9.55,109.04,575.24,39.93,0.00,300.90,449.87,85.05%
for,30,4,8,4096,4.00,1024,2.39,9.57,107.81,575.22,40.49,0.00,300.63,448.93,85.06%
for,31,4,8,512,8.00,1024,2.13,8.52,208.93,501.87,127.19,0.00,672.20,1008.32,68.78%
for,31,4,8,512,8.00,1024,2.15,8.60,207.34,497.51,125.47,0.00,666.47,999.28,68.77%
for,31,4,8,512,8.00,1024,2.13,8.54,210.85,498.10,125.39,0.00,669.71,1005.95,68.78%
for,31,4,8,1024,8.00,1024,2.07,8.29,214.91,548.85,113.87,0.00,707.60,1036.38,76.72%
for,31,4,8,1024,8.00,1024,2.09,8.38,213.52,551.68,106.01,0.00,705.68,1025.21,76.72%
for,31,4,8,1024,8.00,1024,2.08,8.34,218.50,542.59,109.01,0.00,702.70,1030.21,76.72%
for,31,4,8,2048,8.00,1024,2.05,8.21,218.17,568.18,99.29,0.00,728.82,1046.28,82.65%
for,31,4,8,2048,8.00,1024,2.04,8.17,221.82,571.20,99.38,0.00,730.49,1051.69,82.65%
for,31,4,8,2048,8.00,1024,2.03,8.14,224.15,564.23,97.88,0.00,733.70,1055.73,82.65%
for,31,4,8,4096,8.00,1024,1.98,7.90,220.05,585.80,105.36,0.00,761.40,1086.82,86.99%
for,31,4,8,4096,8.00,1024,1.98,7.93,219.11,584.15,107.38,0.00,757.38,1083.87,86.99%
for,31,4,8,4096,8.00,1024,1.96,7.85,220.54,587.79,109.73,0.00,764.05,1094.32,86.99%
for,31,4,8,8192,8.00,1024,2.33,9.30,226.37,1220.64,69.11,0.00,627.71,923.19,90.12%
for,31,4,8,8192,8.00,1024,2.36,9.46,224.46,1194.08,69.68,0.00,614.04,908.18,90.12%
for,31,4,8,8192,8.00,1024,2.37,9.47,219.44,1200.17,70.72,0.00,617.00,907.16,90.13%
for,32,4,8,512,16.00,1024,2.05,8.20,428.86,1003.85,242.53,0.00,1424.19,2095.59,69.56%
for,32,4,8,512,16.00,1024,2.05,8.22,425.51,1006.01,234.23,0.00,1430.46,2090.21,69.56%
for,32,4,8,512,16.00,1024,2.04,8.18,420.20,1013.69,242.78,0.00,1438.08,2101.07,69.57%
for,32,4,8,1024,16.00,1024,1.97,7.89,431.41,1130.62,217.59,0.00,1528.11,2177.12,77.57%
for,32,4,8,1024,16.00,1024,1.98,7.91,426.85,1131.95,215.43,0.00,1529.89,2172.17,77.57%
for,32,4,8,1024,16.00,1024,1.99,7.98,441.26,1108.31,206.30,0.00,1506.24,2153.81,77.57%
for,32,4,8,2048,16.00,1024,1.90,7.59,447.93,1163.15,252.17,0.00,1563.27,2263.37,83.55%
for,32,4,8,2048,16.00,1024,1.92,7.67,450.22,1149.90,247.06,0.00,1543.09,2240.37,83.55%
for,32,4,8,2048,16.00,1024,1.90,7.58,452.57,1148.88,254.20,0.00,1559.68,2266.45,83.55%
for,32,4,8,4096,16.00,1024,1.83,7.33,439.20,1192.72,285.90,0.00,1619.67,2344.77,87.93%
for,32,4,8,4096,16.00,1024,1.82,7.30,445.80,1189.01,287.64,0.00,1620.67,2354.12,87.93%
for,32,4,8,4096,16.00,1024,1.83,7.33,434.57,1193.88,289.66,0.00,1621.02,2345.26,87.93%
for,32,4,8,8192,16.00,1024,1.79,7.14,437.03,1220.62,318.63,0.00,1650.00,2405.66,91.10%
for,32,4,8,8192,16.00,1024,1.79,7.14,436.68,1227.35,316.94,0.00,1652.52,2406.14,91.10%
for,32,4,8,8192,16.00,1024,1.78,7.12,444.55,1222.79,321.73,0.00,1647.73,2414.00,91.10%
