APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,8,128,0.12,1024,2.80,11.20,3.03,6.53,0.00,2.43,11.99,21.68
for,25,4,8,128,0.12,1024,2.93,11.74,3.00,6.13,0.00,2.30,11.43,21.69
for,25,4,8,128,0.12,1024,2.87,11.49,2.99,6.37,0.00,2.32,11.68,21.68
for,26,4,8,256,0.25,1024,2.98,11.93,5.77,14.28,0.00,2.45,22.51,43.92
for,26,4,8,256,0.25,1024,2.94,11.77,5.64,14.62,0.00,2.54,22.80,43.92
for,26,4,8,256,0.25,1024,2.94,11.76,6.04,14.32,0.00,2.47,22.83,43.92
for,27,4,8,512,0.50,1024,2.81,11.24,11.79,33.09,0.00,2.89,47.78,61.24
for,27,4,8,512,0.50,1024,2.76,11.06,11.70,33.88,0.00,2.96,48.54,61.24
for,27,4,8,512,0.50,1024,2.80,11.21,12.10,32.78,0.00,2.99,47.87,61.23
for,28,4,8,1024,1.00,1024,2.62,10.48,24.44,74.20,0.00,3.80,102.44,73.48
for,28,4,8,1024,1.00,1024,2.60,10.38,24.47,75.26,0.00,3.70,103.44,73.48
for,28,4,8,1024,1.00,1024,2.60,10.42,24.55,74.82,0.00,3.72,103.08,73.48
for,29,4,8,2048,2.00,1024,2.56,10.22,52.00,153.10,0.00,5.01,210.11,81.85
for,29,4,8,2048,2.00,1024,2.54,10.14,50.79,155.72,0.00,5.18,211.68,81.85
for,29,4,8,2048,2.00,1024,2.57,10.27,51.40,153.07,0.00,4.73,209.20,81.85
for,30,4,8,4096,4.00,1024,2.47,9.89,106.17,320.92,0.00,7.23,434.32,87.43
for,30,4,8,4096,4.00,1024,2.46,9.84,108.02,321.60,0.00,7.05,436.67,87.43
for,30,4,8,4096,4.00,1024,2.45,9.82,107.86,322.52,0.00,7.12,437.50,87.44
for,31,4,8,8192,8.00,1024,2.44,9.77,213.41,655.54,0.00,10.50,879.45,90.83
for,31,4,8,8192,8.00,1024,2.43,9.73,218.26,654.14,0.00,10.81,883.21,90.83
for,31,4,8,8192,8.00,1024,2.43,9.73,218.72,653.66,0.00,10.51,882.89,90.83
