APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,4,128,0.12,1024,2.20,8.78,4.91,7.31,0.00,3.07,15.29,21.68
for,25,4,4,128,0.12,1024,2.18,8.72,4.94,7.36,0.00,3.09,15.39,21.68
for,25,4,4,128,0.12,1024,2.14,8.58,5.08,7.26,0.00,3.31,15.64,21.68
for,26,4,4,256,0.25,1024,2.20,8.81,9.59,17.31,0.00,3.56,30.47,43.92
for,26,4,4,256,0.25,1024,2.22,8.88,9.53,17.28,0.00,3.40,30.22,43.92
for,26,4,4,256,0.25,1024,2.23,8.92,9.46,17.32,0.00,3.32,30.11,43.92
for,27,4,4,512,0.50,1024,2.16,8.64,19.22,38.89,0.00,4.03,62.14,61.24
for,27,4,4,512,0.50,1024,2.16,8.62,19.27,38.95,0.00,4.03,62.25,61.24
for,27,4,4,512,0.50,1024,2.16,8.62,19.33,38.92,0.00,4.03,62.27,61.24
for,28,4,4,1024,1.00,1024,2.02,8.09,39.76,86.83,0.00,6.07,132.66,73.48
for,28,4,4,1024,1.00,1024,2.02,8.09,39.80,87.37,0.00,5.55,132.71,73.49
for,28,4,4,1024,1.00,1024,2.02,8.08,39.94,87.30,0.00,5.67,132.92,73.48
