APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,4,128,0.12,1024,2.25,9.02,4.90,6.89,0.00,3.10,14.88,21.68
for,25,4,4,128,0.12,1024,2.28,9.12,4.89,6.70,0.00,3.14,14.72,21.68
for,25,4,4,128,0.12,1024,2.22,8.88,5.02,6.84,0.00,3.26,15.12,21.68
for,26,4,4,256,0.25,1024,2.35,9.40,9.35,15.63,0.00,3.58,28.56,43.92
for,26,4,4,256,0.25,1024,2.38,9.54,9.31,15.50,0.00,3.33,28.14,43.92
for,26,4,4,256,0.25,1024,2.38,9.51,9.30,15.61,0.00,3.32,28.23,43.92
for,27,4,4,512,0.50,1024,2.35,9.42,18.70,34.25,0.00,4.05,57.00,61.24
for,27,4,4,512,0.50,1024,2.36,9.44,18.72,34.03,0.00,4.13,56.89,61.24
for,27,4,4,512,0.50,1024,2.35,9.40,18.71,34.30,0.00,4.12,57.14,61.24
for,28,4,4,1024,1.00,1024,2.25,9.01,38.30,75.13,0.00,5.79,119.23,73.48
for,28,4,4,1024,1.00,1024,2.25,9.00,38.43,74.73,0.00,6.18,119.34,73.49
for,28,4,4,1024,1.00,1024,2.21,8.84,40.91,75.01,0.00,5.52,121.44,73.49
