APPROACH,K,sizeof(MemoRecord),num_threads,MEMORY_SIZE(MB),file_size(GB),BATCH_SIZE,total_throughput(MH/s),total_throughput(MB/s),elapsed_time_hash_total,elapsed_time_hash2_total,elapsed_time_io_total,elapsed_time_shuffle_total,other_time,elapsed_time,storage_efficiency
for,28,4,4,512,1.00,1024,1.92,7.69,39.69,57.75,11.88,0.00,88.03,139.61,57.58%
for,28,4,4,512,1.00,1024,1.92,7.68,39.79,57.97,11.68,0.00,88.43,139.90,57.58%
for,28,4,4,512,1.00,1024,1.92,7.68,39.68,58.02,11.54,0.00,88.64,139.87,57.58%
for,28,4,4,1024,1.00,1024,2.36,9.46,38.02,123.89,4.05,0.00,71.50,113.56,64.40%
for,28,4,4,1024,1.00,1024,2.37,9.48,38.06,123.83,4.02,0.00,71.20,113.28,64.40%
for,28,4,4,1024,1.00,1024,2.38,9.50,37.94,124.05,3.96,0.00,71.07,112.97,64.40%
for,29,4,4,512,2.00,1024,1.91,7.62,79.40,126.25,26.87,0.00,175.50,281.77,63.99%
for,29,4,4,512,2.00,1024,1.90,7.61,79.65,126.57,26.77,0.00,175.75,282.16,63.99%
for,29,4,4,512,2.00,1024,1.90,7.59,79.38,127.11,26.98,0.00,176.50,282.86,63.99%
for,29,4,4,1024,2.00,1024,1.92,7.67,76.76,134.91,18.93,0.00,184.14,279.83,71.49%
for,29,4,4,1024,2.00,1024,1.93,7.73,75.87,134.41,18.73,0.00,183.12,277.72,71.49%
for,29,4,4,1024,2.00,1024,1.93,7.73,75.87,134.73,19.25,0.00,182.63,277.75,71.49%
for,30,4,4,512,4.00,1024,1.90,7.60,158.94,265.07,55.85,0.00,350.66,565.45,67.19%
for,30,4,4,512,4.00,1024,1.90,7.61,158.76,265.07,55.94,0.00,350.06,564.75,67.19%
for,30,4,4,512,4.00,1024,1.90,7.61,158.81,265.34,56.21,0.00,349.32,564.34,67.19%
for,30,4,4,1024,4.00,1024,1.92,7.69,151.93,281.86,43.11,0.00,363.39,558.42,75.00%
for,30,4,4,1024,4.00,1024,1.93,7.73,151.79,281.96,43.17,0.00,360.97,555.93,75.00%
for,30,4,4,1024,4.00,1024,1.93,7.72,151.83,281.56,43.08,0.00,361.25,556.15,74.99%
