APPROACH,K,NONCE_SIZE(B),NUM_THREADS,MEMORY_SIZE(MB),FILE_SIZE(GB),BATCH_SIZE,THROUGHPUT(MH/S),THROUGHPUT(MB/S),HASH_TIME,IO_TIME,SHUFFLE_TIME,OTHER_TIME,TOTAL_TIME,STORAGE_EFFICIENCY
for,25,4,4,128,0.12,1024,2.42,9.67,4.88,5.94,0.00,3.06,13.88,21.68
for,25,4,4,128,0.12,1024,2.40,9.59,4.89,6.02,0.00,3.09,13.99,21.68
for,25,4,4,128,0.12,1024,2.36,9.44,4.89,6.20,0.00,3.13,14.22,21.68
for,26,4,4,256,0.25,1024,2.51,10.03,9.31,14.10,0.00,3.35,26.76,43.92
for,26,4,4,256,0.25,1024,2.52,10.08,9.30,14.00,0.00,3.33,26.62,43.92
for,26,4,4,256,0.25,1024,2.51,10.02,9.31,14.14,0.00,3.34,26.79,43.92
for,27,4,4,512,0.50,1024,2.42,9.67,18.72,32.63,0.00,4.15,55.50,61.24
for,27,4,4,512,0.50,1024,2.42,9.69,18.74,32.56,0.00,4.11,55.41,61.24
for,27,4,4,512,0.50,1024,2.42,9.68,18.72,32.72,0.00,4.04,55.48,61.24
for,28,4,4,1024,1.00,1024,2.33,9.32,38.27,71.31,0.00,5.65,115.24,73.48
for,28,4,4,1024,1.00,1024,2.33,9.31,38.29,71.40,0.00,5.68,115.37,73.49
for,28,4,4,1024,1.00,1024,2.33,9.31,38.29,71.36,0.00,5.65,115.30,73.48
