APPROACH,K,sizeof(MemoRecord),num_threads,MEMORY_SIZE(MB),file_size(GB),BATCH_SIZE,total_throughput(MH/s),total_throughput(MB/s),elapsed_time_hash_total,elapsed_time_hash2_total,elapsed_time_io_total,elapsed_time_shuffle_total,other_time,elapsed_time,storage_efficiency
for,29,4,64,512,2.00,1024,1,6.79,27.17,10.43,10.85,38.05,0.00,30.55,79.03,63.98%
for,29,4,64,512,2.00,1024,1,6.39,25.57,13.87,10.76,39.41,0.00,30.70,83.98,63.99%
for,29,4,64,512,2.00,1024,1,6.24,24.97,12.77,11.22,42.57,0.00,30.65,85.99,63.99%
for,29,4,64,512,2.00,1024,1024,3.86,15.45,13.15,12.03,82.05,0.00,43.80,139.00,63.99%
for,29,4,64,512,2.00,1024,1024,4.31,17.23,14.22,11.58,70.21,0.00,40.17,124.61,63.99%
for,29,4,64,512,2.00,1024,1024,4.48,17.93,15.18,11.70,68.63,0.00,35.98,119.79,63.99%
for,29,4,64,512,2.00,1024,2048,4.20,16.82,13.33,11.30,59.36,0.00,54.99,127.68,63.99%
for,29,4,64,512,2.00,1024,2048,4.38,17.51,12.45,12.18,65.36,0.00,44.80,122.61,63.98%
for,29,4,64,512,2.00,1024,2048,4.21,16.85,13.98,12.28,72.96,0.00,40.53,127.47,63.99%
for,29,4,64,512,2.00,1024,4096,6.59,26.35,12.15,11.78,35.67,0.00,33.68,81.50,63.99%
for,29,4,64,512,2.00,1024,4096,6.88,27.51,12.03,12.30,32.11,0.00,33.92,78.07,63.99%
for,29,4,64,512,2.00,1024,4096,7.37,29.48,12.20,11.58,28.26,0.00,32.40,72.86,64.00%
for,29,4,64,512,2.00,1024,8192,6.71,26.86,13.63,11.51,34.12,0.00,32.22,79.96,63.99%
for,29,4,64,512,2.00,1024,8192,5.63,22.53,14.28,11.93,47.69,0.00,33.34,95.31,63.99%
for,29,4,64,512,2.00,1024,8192,7.48,29.91,10.72,11.17,29.96,0.00,31.11,71.79,63.99%
for,29,4,64,512,2.00,1024,16384,7.30,29.19,10.71,10.97,31.64,0.00,31.22,73.56,63.99%
for,29,4,64,512,2.00,1024,16384,8.02,32.10,10.48,11.65,24.42,0.00,32.00,66.90,63.99%
for,29,4,64,512,2.00,1024,16384,8.51,34.03,11.32,11.06,22.18,0.00,29.60,63.10,63.99%
for,29,4,64,512,2.00,1024,32768,8.08,32.31,10.74,11.13,23.49,0.00,32.23,66.46,63.99%
for,29,4,64,512,2.00,1024,32768,7.74,30.95,10.80,11.15,25.89,0.00,32.69,69.39,63.99%
