APPROACH,K,sizeof(MemoRecord),num_threads,MEMORY_SIZE(MB),file_size(GB),BATCH_SIZE,total_throughput(MH/s),total_throughput(MB/s),elapsed_time_hash_total,elapsed_time_hash2_total,elapsed_time_io_total,elapsed_time_shuffle_total,other_time,elapsed_time,storage_efficiency
for,29,4,64,512,2.00,1024,1,1.96,7.83,75.02,126.05,30.14,0.00,168.93,274.10,63.99%
for,29,4,64,512,2.00,1024,1024,1.98,7.93,75.15,126.15,25.54,0.00,170.10,270.79,63.99%
for,29,4,64,512,2.00,1024,1024,1.99,7.96,74.32,126.17,25.68,0.00,169.90,269.90,63.99%
for,29,4,64,512,2.00,1024,1024,1.97,7.88,75.40,126.05,25.97,0.00,171.17,272.54,63.99%
for,29,4,64,512,2.00,1024,2048,1.99,7.94,75.31,126.08,25.38,0.00,169.77,270.46,63.98%
for,29,4,64,512,2.00,1024,2048,1.98,7.93,75.43,126.12,25.66,0.00,169.65,270.74,63.99%
for,29,4,64,512,2.00,1024,2048,1.97,7.89,75.64,127.32,25.28,0.00,171.13,272.05,63.99%
for,29,4,64,512,2.00,1024,4096,1.98,7.92,75.36,126.04,26.20,0.00,169.70,271.27,63.99%
for,29,4,64,512,2.00,1024,4096,1.97,7.89,75.22,126.10,25.84,0.00,171.29,272.35,63.99%
for,29,4,64,512,2.00,1024,4096,1.96,7.85,75.40,126.15,27.42,0.00,170.87,273.68,63.99%
for,29,4,64,512,2.00,1024,8192,2.00,7.99,74.09,126.38,25.86,0.00,168.95,268.89,63.99%
for,29,4,64,512,2.00,1024,8192,1.99,7.96,75.25,125.97,25.56,0.00,169.08,269.89,63.99%
for,29,4,64,512,2.00,1024,8192,1.98,7.94,75.38,126.08,25.22,0.00,169.89,270.49,63.99%
for,29,4,64,512,2.00,1024,16384,1.99,7.96,75.34,126.20,25.01,0.00,169.52,269.87,63.99%
for,29,4,64,512,2.00,1024,16384,1.97,7.87,75.41,126.12,27.07,0.00,170.31,272.79,63.99%
for,29,4,64,512,2.00,1024,16384,1.97,7.87,74.98,126.04,27.97,0.00,169.85,272.81,63.99%
for,29,4,64,512,2.00,1024,32768,1.97,7.89,75.67,126.15,26.99,0.00,169.55,272.21,63.99%
for,29,4,64,512,2.00,1024,32768,1.97,7.88,77.25,126.18,26.10,0.00,169.06,272.42,63.99%
for,29,4,64,512,2.00,1024,32768,1.97,7.89,75.53,126.04,25.80,0.00,170.99,272.32,63.99%
for,29,4,64,512,2.00,1024,65536,1.95,7.78,77.22,126.15,27.63,0.00,171.01,275.87,63.99%
for,29,4,64,512,2.00,1024,65536,1.98,7.90,75.42,126.13,26.30,0.00,169.98,271.70,63.99%
for,29,4,64,512,2.00,1024,65536,2.00,7.99,75.47,126.15,24.35,0.00,169.03,268.85,63.99%
for,29,4,64,512,2.00,1024,131072,1.97,7.90,74.21,126.12,26.66,0.00,171.05,271.93,63.99%
for,29,4,64,512,2.00,1024,131072,1.95,7.82,75.32,126.12,27.81,0.00,171.51,274.63,63.99%
for,29,4,64,512,2.00,1024,131072,1.99,7.95,74.15,126.19,25.52,0.00,170.57,270.24,63.99%
for,29,4,64,512,2.00,1024,262144,1.98,7.90,74.03,126.18,26.99,0.00,170.70,271.73,63.98%
for,29,4,64,512,2.00,1024,262144,2.00,8.00,73.89,126.20,25.18,0.00,169.30,268.36,63.98%
for,29,4,64,512,2.00,1024,262144,1.99,7.97,75.42,126.07,25.00,0.00,169.10,269.52,63.99%
for,29,4,64,512,2.00,1024,524288,1.98,7.92,76.68,126.07,25.03,0.00,169.32,271.03,63.99%
for,29,4,64,512,2.00,1024,524288,1.97,7.89,75.64,126.01,26.36,0.00,170.09,272.09,63.99%
for,29,4,64,512,2.00,1024,524288,2.00,7.98,75.39,126.06,24.88,0.00,168.72,268.99,63.99%
for,29,4,64,512,2.00,1024,1048576,1.98,7.91,75.21,126.02,25.90,0.00,170.31,271.42,63.98%
for,29,4,64,512,2.00,1024,1048576,1.97,7.87,79.39,126.28,24.71,0.00,168.77,272.87,63.99%
for,29,4,64,512,2.00,1024,1048576,1.98,7.91,74.29,126.11,25.93,0.00,171.12,271.34,63.99%
for,29,4,64,512,2.00,1024,2097152,1.99,7.97,75.14,126.02,25.01,0.00,169.24,269.39,63.98%
for,29,4,64,512,2.00,1024,2097152,1.98,7.92,75.40,126.14,25.55,0.00,170.36,271.31,63.99%
for,29,4,64,512,2.00,1024,2097152,1.98,7.90,76.46,126.10,25.17,0.00,170.05,271.67,63.98%
for,29,4,64,512,2.00,1024,4194304,2.00,8.00,74.54,125.99,24.79,0.00,169.18,268.51,63.98%
for,29,4,64,512,2.00,1024,4194304,1.99,7.96,75.64,126.14,25.45,0.00,168.75,269.84,63.99%
for,29,4,64,512,2.00,1024,4194304,1.95,7.81,79.58,126.29,25.20,0.00,170.26,275.04,63.99%
for,29,4,64,512,2.00,1024,8388608,1.96,7.84,75.39,126.08,27.39,0.00,171.00,273.78,63.98%
for,29,4,64,512,2.00,1024,8388608,1.98,7.90,74.21,126.18,26.42,0.00,171.17,271.80,63.99%
for,29,4,64,512,2.00,1024,8388608,1.98,7.93,75.22,126.06,25.52,0.00,170.17,270.91,63.99%
for,29,4,64,512,2.00,1024,16777216,1.99,7.98,75.54,126.22,24.92,0.00,168.73,269.19,63.98%
for,29,4,64,512,2.00,1024,16777216,1.96,7.83,78.49,126.31,25.50,0.00,170.43,274.42,63.99%
for,29,4,64,512,2.00,1024,16777216,1.98,7.90,74.61,126.07,26.00,0.00,171.14,271.76,63.99%
