varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,29,1,1,4.0,1024,1,199.16,1008.74,690.763208,11.51,4034.55,0.78
2,29,2,1,4.0,1024,1,199.16,1016.21,355.920864,5.93,4034.67,1.51
4,29,4,1,4.0,1024,1,199.16,990.79,208.503848,3.48,4034.72,2.57
8,29,8,1,4.0,1024,1,199.16,859.67,151.559814,2.53,4034.73,3.54
16,29,16,1,4.0,1024,1,199.16,865.81,96.337946,1.61,4034.73,5.57
32,29,32,1,4.0,1024,1,199.16,914.48,68.234265,1.14,4034.96,7.87
64,29,64,1,4.0,1024,1,199.16,886.44,54.859552,0.91,4035.50,9.79
96,29,96,1,4.0,1024,1,199.16,913.47,47.922665,0.80,4036.21,11.20
128,29,128,1,4.0,1024,1,199.16,899.85,47.110570,0.79,4036.52,11.40
192,29,192,1,4.0,1024,1,199.16,905.55,44.522283,0.74,4037.77,12.06
256,29,256,1,4.0,1024,1,199.16,911.11,43.481756,0.72,4038.61,12.35
384,29,384,1,4.0,1024,1,199.16,868.18,40.431654,0.67,4035.77,13.28
