varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,29,1,1,4.0,512,1,386.24,1014.38,653.738154,10.90,2338.43,0.82
2,29,2,1,4.0,512,1,386.25,1014.68,339.575805,5.66,2338.54,1.58
4,29,4,1,4.0,512,1,386.24,1021.28,189.894412,3.16,2338.52,2.83
8,29,8,1,4.0,512,1,386.24,948.95,147.361268,2.46,2338.60,3.64
16,29,16,1,4.0,512,1,386.24,886.01,97.161806,1.62,2338.70,5.53
32,29,32,1,4.0,512,1,386.23,852.69,73.142276,1.22,2339.05,7.34
64,29,64,1,4.0,512,1,386.25,919.77,54.956831,0.92,2339.50,9.77
96,29,96,1,4.0,512,1,386.23,852.58,54.375859,0.91,2340.01,9.87
128,29,128,1,4.0,512,1,386.25,862.40,56.284816,0.94,2340.59,9.54
192,29,192,1,4.0,512,1,386.23,903.16,55.825632,0.93,2341.69,9.62
256,29,256,1,4.0,512,1,386.24,901.58,55.577437,0.93,2342.64,9.66
384,29,384,1,4.0,512,1,386.24,877.03,44.661667,0.74,2344.69,12.02
