varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,1,1,32.0,1024,1,99.94,797.85,5348.512678,89.14,50434.46,0.80
2,32,2,1,32.0,1024,1,99.94,702.00,2936.736917,48.95,50434.68,1.46
4,32,4,1,32.0,1024,1,99.94,745.40,1478.609342,24.64,50434.62,2.90
8,32,8,1,32.0,1024,1,99.94,677.60,1011.971310,16.87,50434.69,4.24
16,32,16,1,32.0,1024,1,99.94,655.04,556.657046,9.28,50434.93,7.72
32,32,32,1,32.0,1024,1,99.94,668.81,314.198130,5.24,50435.22,13.67
64,32,64,1,32.0,1024,1,99.94,741.29,193.303704,3.22,50436.00,22.22
96,32,96,1,32.0,1024,1,99.94,786.48,150.953912,2.52,50436.77,28.45
128,32,128,1,32.0,1024,1,99.94,657.25,139.469632,2.32,50437.54,30.79
192,32,192,1,32.0,1024,1,99.94,710.26,119.146106,1.99,50439.17,36.05
256,32,256,1,32.0,1024,1,99.94,544.19,121.372038,2.02,50440.66,35.39
384,32,384,1,32.0,1024,1,99.94,678.62,106.932208,1.78,50443.84,40.17
