varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,1,1,32.0,1024,1,99.94,821.05,5368.615710,89.48,50434.54,0.80
2,32,2,1,32.0,1024,1,99.94,754.33,2953.942972,49.23,50434.69,1.45
4,32,4,1,32.0,1024,1,99.94,705.10,1662.944344,27.72,50434.72,2.58
8,32,8,1,32.0,1024,1,99.94,699.09,1009.249298,16.82,50434.62,4.26
16,32,16,1,32.0,1024,1,99.94,771.35,536.154855,8.94,50435.02,8.01
32,32,32,1,32.0,1024,1,99.94,740.85,308.389084,5.14,50435.35,13.93
64,32,64,1,32.0,1024,1,99.94,713.25,192.471694,3.21,50436.11,22.31
96,32,96,1,32.0,1024,1,99.94,655.59,159.625903,2.66,50436.77,26.91
128,32,128,1,32.0,1024,1,99.94,681.92,145.219494,2.42,50437.67,29.58
192,32,192,1,32.0,1024,1,99.94,652.05,121.244499,2.02,50439.05,35.42
256,32,256,1,32.0,1024,1,99.94,608.29,117.198297,1.95,50440.67,36.65
384,32,384,1,32.0,1024,1,99.94,738.58,104.559770,1.74,50432.61,41.08
