----Run 1 for K=29, memory=512 MB----
Linux 6.8.0-1028-raspi (raspberrypi5) 	06/29/25 	_aarch64_	(4 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:29     1002     15050   25.00   67.00    0.00    0.00   92.00     2 188722.00      1.00 1778204  756736   9.31    196.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:30     1002     15050   25.00   75.00    0.00    0.00  100.00     2 210859.00      0.00 2297228 1600128  19.69      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:31     1002     15050   29.00   71.00    0.00    0.00  100.00     2 210509.00      0.00 2815460 2442240  30.05      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:32     1002     15050   25.00   75.00    0.00    0.00  100.00     2 210245.00      0.00 3333032 3283200  40.39      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:33     1002     15050  112.00   11.00    0.00    0.00  123.00     2  31678.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:34     1002     15050  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:35     1002     15050  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:36     1002     15050  399.00    0.00    0.00    0.00  399.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:37     1002     15050  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:38     1002     15050  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:39     1002     15050  401.00    0.00    0.00    0.00  401.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:40     1002     15050  399.00    0.00    0.00    0.00  399.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:41     1002     15050  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:42     1002     15050  396.00    0.00    0.00    0.00  396.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:43     1002     15050  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:44     1002     15050  399.00    0.00    0.00    1.00  399.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:45     1002     15050  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:46     1002     15050  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:47     1002     15050  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:48     1002     15050  399.00    0.00    0.00    0.00  399.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:49     1002     15050  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:50     1002     15050  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:51     1002     15050  401.00    0.00    0.00    0.00  401.00     2      0.00      0.00 3435680 3409920  41.95      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
10:43:52     1002     15050  336.00    3.00    0.00    0.00  339.00     2      1.00      0.00 3435680 3409920  41.95      0.00  29336.00      0.00       0  vaultx

