----Run 1 for K=30, memory=1024 MB----
Linux 6.8.0-1028-raspi (raspberrypi5) 	06/30/25 	_aarch64_	(4 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:12     1002     20442   22.00   77.00    0.00    0.00   99.00     2 221791.00      0.00 1978052  903296  11.11      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:13     1002     20442   24.00   77.00    0.00    0.00  101.00     2 225293.00      0.00 2642012 1804544  22.20      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:14     1002     20442   21.00   78.00    0.00    0.00   99.00     2 225728.00      0.00 3307424 2707456  33.31      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:15     1002     20442   24.00   76.00    0.00    0.00  100.00     2 214474.00      0.00 3939440 3565312  43.86      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:16     1002     20442   20.00   80.00    0.00    0.00  100.00     2 210227.00      0.00 4559180 4406272  54.21      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:17     1002     20442   50.00   50.00    0.00    0.00  100.00     2 144081.00      0.00 4983824 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:18     1002     20442  232.00    0.00    0.00    0.00  232.00     2     13.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:19     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:20     1002     20442  400.00    1.00    0.00    0.00  401.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:21     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:22     1002     20442  400.00    0.00    0.00    1.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:23     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:24     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:25     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:26     1002     20442  399.00    0.00    0.00    0.00  399.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:28     1002     20442  401.00    0.00    0.00    0.00  401.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:29     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:30     1002     20442  399.00    0.00    0.00    0.00  399.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:31     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:32     1002     20442  397.03    0.00    0.00    0.00  397.03     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:33     1002     20442  399.00    0.00    0.00    0.00  399.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:34     1002     20442  396.00    0.00    0.00    0.00  396.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:35     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:36     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:37     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:38     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:39     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:40     1002     20442  400.00    0.00    0.00    1.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:41     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:42     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:43     1002     20442  399.00    0.00    0.00    0.00  399.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:44     1002     20442  401.00    0.00    0.00    0.00  401.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:45     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:46     1002     20442  398.00    0.00    0.00    0.00  398.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:47     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:48     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:49     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:50     1002     20442  397.03    0.00    0.00    0.00  397.03     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:51     1002     20442  395.00    0.00    0.00    0.00  395.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:52     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:53     1002     20442  399.00    0.00    0.00    0.00  399.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:54     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:55     1002     20442  400.00    0.00    0.00    0.00  400.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:56     1002     20442  171.00   28.00    0.00    0.00  199.00     2      1.00      0.00 5008592 4982528  61.30      0.00 223088.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:57     1002     20442   42.00   58.00    0.00    1.00  100.00     2      0.00      0.00 5008592 4982528  61.30      0.00 492952.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:58     1002     20442   59.00   40.00    0.00    0.00   99.00     2      0.00      0.00 5008592 4982528  61.30      0.00 332532.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:08:59     1002     20442  100.00    0.00    0.00    0.00  100.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:09:00     1002     20442  115.00    0.00    0.00    0.00  115.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
15:09:01     1002     20442  399.00    0.00    0.00    0.00  399.00     2      0.00      0.00 5008592 4982528  61.30      0.00      0.00      0.00       0  vaultx

