----Run 1 for K=30, memory=512 MB----
Linux 6.1.43-rockchip-rk3588 (orangepi5plus) 	07/02/2025 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:19 AM  1001     26799   38.00   55.00    0.00    0.00   93.00     4 239906.00      6.00 1904072  961332   2.95     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:20 AM  1001     26799   39.00   60.00    0.00    0.00   99.00     4 305718.00      0.00 2656604 2184180   6.71     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:21 AM  1001     26799   37.00   64.00    0.00    0.00  101.00     4 306385.00      0.00 3410720 3409668  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:22 AM  1001     26799  533.00    0.00    0.00    0.00  533.00     4     24.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:23 AM  1001     26799  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:24 AM  1001     26799  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:25 AM  1001     26799  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:26 AM  1001     26799  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:27 AM  1001     26799  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:28 AM  1001     26799  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:29 AM  1001     26799  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:30 AM  1001     26799  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:31 AM  1001     26799  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:32 AM  1001     26799  412.00    0.00    0.00    0.00  412.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:33 AM  1001     26799  400.00    0.00    0.00    0.00  400.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:34 AM  1001     26799  400.00    0.00    0.00    0.00  400.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:35 AM  1001     26799  137.00   33.00    0.00    0.00  170.00     4      1.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:36 AM  1001     26799  303.00    6.00    0.00    0.00  309.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:37 AM  1001     26799  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:38 AM  1001     26799  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:39 AM  1001     26799  800.00    0.00    0.00    1.00  800.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:40 AM  1001     26799  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:41 AM  1001     26799  802.00    0.00    0.00    0.00  802.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:42 AM  1001     26799  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:43 AM  1001     26799  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:44 AM  1001     26799  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:45 AM  1001     26799  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
12:54:46 AM  1001     26799  544.00    0.00    0.00    0.00  544.00     4      0.00      0.00 3468512 3409932  10.48     -1.00     -1.00     -1.00       0  vaultx

