----Run 1 for K=31, memory=2048 MB----
Linux 6.1.43-rockchip-rk3588 (orangepi5plus) 	07/02/2025 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:25 AM  1001     28124   19.80   54.46    0.00    0.00   74.26     4 263508.91      5.94 2206352 1066308   3.28     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:26 AM  1001     28124   23.00   78.00    0.00    0.00  101.00     4 378185.00      0.00 3475004 2579028   7.92     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:27 AM  1001     28124   23.00   77.00    0.00    0.00  100.00     4 384548.00      0.00 4765172 4117092  12.65     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:28 AM  1001     28124   28.00   72.00    0.00    0.00  100.00     4 386359.00      0.00 6061280 5662548  17.40     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:29 AM  1001     28124   24.00   75.00    0.00    0.00   99.00     4 386598.00      0.00 7358312 7209060  22.15     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:30 AM  1001     28124   74.00   43.00    0.00    0.00  117.00     4 229847.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:31 AM  1001     28124  799.00    1.00    0.00    0.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:32 AM  1001     28124  799.00    1.00    0.00    0.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:33 AM  1001     28124  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:34 AM  1001     28124  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:35 AM  1001     28124  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:36 AM  1001     28124  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:37 AM  1001     28124  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:38 AM  1001     28124  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:39 AM  1001     28124  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:40 AM  1001     28124  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:41 AM  1001     28124  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:42 AM  1001     28124  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:43 AM  1001     28124  800.00    0.00    0.00    1.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:44 AM  1001     28124  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:45 AM  1001     28124  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:46 AM  1001     28124  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:47 AM  1001     28124  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:48 AM  1001     28124  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:49 AM  1001     28124  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:50 AM  1001     28124  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:51 AM  1001     28124  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:38:52 AM  1001     28124  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 8187116 8128308  24.97     -1.00     -1.00     -1.00       0  vaultx

