----Run  for K=36, memory=1080 MB----
Linux 5.15.0-142-generic (epycbox) 	07/01/2025 	_x86_64_	(128 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:02 PM  1010   2653920   29.00   70.00    0.00    0.00   99.00    93 370012.00     14.00 2404620 1482284   0.30    376.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:03 PM  1010   2653920   30.00   70.00    0.00    0.00  100.00    93 373858.00      0.00 3506556 2977580   0.60      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:04 PM  1010   2653920   26.00   74.00    0.00    0.00  100.00    93 364131.00      0.00 4579716 4434068   0.90      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:05 PM  1010   2653920 2942.00   27.00    0.00    4.00 2969.00    30 137452.00     98.00 5500644 4983472   1.01      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:06 PM  1010   2653920 6246.00  151.00    0.00    0.00 6397.00    30  65591.00      0.00 5500644 4984056   1.01      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:07 PM  1010   2653920 6199.00  200.00    0.00    0.00 6399.00    30  65598.00      0.00 5500644 4984056   1.01      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:08 PM  1010   2653920 6105.00  190.00    0.00    0.00 6295.00    29  65594.00      0.00 5500644 4984056   1.01      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:09 PM  1010   2653920 4470.00  628.00    0.00    0.00 5098.00    29 196583.00      0.00 5500644 4984056   1.01      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:10 PM  1010   2653920 4364.00  437.00    0.00    0.00 4801.00    29 105247.00      0.00 5500644 4984056   1.01      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:11 PM  1010   2653920 2309.00  147.00    0.00    0.00 2456.00    29  58951.00      0.00 5500644 4984056   1.01      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:12 PM  1010   2653920   37.00   72.00    0.00    0.00  109.00    31     36.00      0.00 5500644 4984056   1.01      0.00 324736.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:13 PM  1010   2653920   23.00   74.00    0.00    0.00   97.00    31      0.00      0.00 5500644 4984056   1.01      0.00 325504.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:14 PM  1010   2653920   21.00   70.00    0.00    0.00   91.00    29      2.00      0.00 5500644 4984056   1.01      0.00 290832.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:15 PM  1010   2653920   37.00   59.00    0.00    0.00   96.00    29 327922.00      0.00 5500644 4984064   1.01      0.00 123880.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:16 PM  1010   2653920 2153.00  497.00    0.00    0.00 2650.00    29 295021.00      0.00 5500644 4984064   1.01      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:17 PM  1010   2653920 6425.00    0.00    0.00    0.00 6425.00    25      0.00      0.00 5500644 4984064   1.01      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:18 PM  1010   2653920 5646.00  753.00    0.00    0.00 6399.00    25 266004.00      0.00 5500644 4984064   1.01      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:11:19 PM  1010   2653920 5297.00  917.00    0.00    0.00 6214.00    29 350354.00      0.00 5500644 4984064   1.01      0.00      0.00      0.00       0  vaultx

