----Run  for K=36, memory=1280 MB----
Linux 5.15.0-142-generic (epycbox) 	07/01/2025 	_x86_64_	(128 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:35:50 PM  1010   1323106   27.00   73.00    0.00    0.00  100.00    29 377955.00      8.00 2482368 1514268   0.31      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:35:51 PM  1010   1323106   20.00   80.00    0.00    0.00  100.00    29 383912.00      0.00 3669048 3049956   0.62      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:35:52 PM  1010   1323106   28.00   72.00    0.00    0.00  100.00    29 373544.00      0.00 4823652 4543932   0.92      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:35:53 PM  1010   1323106  216.00   62.00    0.00    0.00  278.00    71 306605.00     91.00 6287112 5769948   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:35:54 PM  1010   1323106 6307.00   91.00    0.00    0.00 6398.00    71  19741.00      0.00 6287112 5770504   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:35:55 PM  1010   1323106 6211.00  188.00    0.00    0.00 6399.00    71  67039.00      0.00 6287112 5770504   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:35:56 PM  1010   1323106 6223.00  176.00    0.00    0.00 6399.00    71  65298.00      0.00 6287112 5770504   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:35:57 PM  1010   1323106 6181.00  194.00    0.00    0.00 6375.00    71  63047.00      0.00 6287112 5770504   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:35:58 PM  1010   1323106 5160.00  226.00    0.00    0.00 5386.00    71  62804.00      0.00 6287112 5770504   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:35:59 PM  1010   1323106 4932.00  210.00    0.00    0.00 5142.00    71  66136.00      0.00 6287112 5770504   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:00 PM  1010   1323106 4529.00  167.00    0.00    0.00 4696.00    71  61440.00      0.00 6287112 5770504   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:01 PM  1010   1323106 2517.00  565.00    0.00    0.00 3082.00    71 227439.00      0.00 6287112 5770504   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:02 PM  1010   1323106  374.00  209.00    0.00    0.00  583.00    71 152660.00      0.00 6287112 5770512   1.17      0.00  39624.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:03 PM  1010   1323106   21.00   79.00    0.00    0.00  100.00    71  30524.00      0.00 6287112 5770512   1.17      0.00 274728.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:04 PM  1010   1323106   23.00   78.00    0.00    0.00  101.00    71      0.00      0.00 6287112 5770512   1.17      0.00 329232.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:05 PM  1010   1323106   24.00   76.00    0.00    0.00  100.00    71    799.00      0.00 6287112 5770512   1.17      0.00 285904.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:06 PM  1010   1323106   33.00   67.00    0.00    0.00  100.00    71   2097.00      0.00 6287112 5770512   1.17      0.00 285160.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:07 PM  1010   1323106   20.00   80.00    0.00    0.00  100.00    71 121798.00      0.00 6287112 5770512   1.17      0.00  96064.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:08 PM  1010   1323106    3.00   96.00    0.00    0.00   99.00    71 193677.00      0.00 6287112 5770512   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:09 PM  1010   1323106    9.00   91.00    0.00    0.00  100.00    71 211473.00      0.00 6287112 5770512   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:10 PM  1010   1323106   38.00   62.00    0.00    0.00  100.00    71 201637.00      0.00 6287112 5770512   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:11 PM  1010   1323106   13.00   88.00    0.00    0.00  101.00     7 149385.00      0.00 6287112 5770512   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:12 PM  1010   1323106 5778.00  308.00    0.00    0.00 6086.00     7 138509.00      0.00 6287112 5770512   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:13 PM  1010   1323106 6399.00    0.00    0.00    0.00 6399.00     7      0.00      0.00 6287112 5770512   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:14 PM  1010   1323106 6121.00  279.00    0.00    0.00 6400.00     7 196302.00      0.00 6287112 5770512   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:15 PM  1010   1323106 6157.00   52.00    0.00    0.00 6209.00    71  34665.00      0.00 6287112 5770512   1.17      0.00      0.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:16 PM  1010   1323106  746.00  179.00    0.00    0.00  925.00    71 129473.00      0.00 6287112 5770512   1.17      0.00 226688.00      0.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:36:17 PM  1010   1323106   17.00   83.00    0.00    0.00  100.00    71      0.00      0.00 6287112 5770512   1.17      0.00 338800.00      0.00       0  vaultx

