----Run 1 for K=31, memory=1024 MB----
Linux 6.1.43-rockchip-rk3588 (orangepi5plus) 	07/02/2025 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:04 AM  1001     27878   20.00   54.00    0.00    0.00   74.00     5 246075.00      7.00 2038712  986072   3.03     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:05 AM  1001     27878   29.00   71.00    0.00    0.00  100.00     5 343735.00      0.00 3051812 2360984   7.25     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:06 AM  1001     27878   33.00   68.00    0.00    0.00  101.00     5 348528.00      0.00 4079036 3754904  11.54     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:07 AM  1001     27878   36.00   63.00    0.00    0.00   99.00     5 306890.00      0.00 4983632 4982504  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:08 AM  1001     27878  631.00    0.00    0.00    0.00  631.00     5     24.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:09 AM  1001     27878  799.00    0.00    0.00    0.00  799.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:10 AM  1001     27878  800.00    1.00    0.00    0.00  801.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:11 AM  1001     27878  799.00    0.00    0.00    0.00  799.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:12 AM  1001     27878  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:13 AM  1001     27878  799.00    0.00    0.00    1.00  799.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:14 AM  1001     27878  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:15 AM  1001     27878  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:16 AM  1001     27878  799.00    0.00    0.00    0.00  799.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:17 AM  1001     27878  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:18 AM  1001     27878  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:19 AM  1001     27878  799.00    0.00    0.00    0.00  799.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:20 AM  1001     27878  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:21 AM  1001     27878  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:22 AM  1001     27878  799.00    0.00    0.00    0.00  799.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:23 AM  1001     27878  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:24 AM  1001     27878  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:25 AM  1001     27878  799.00    0.00    0.00    1.00  799.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:26 AM  1001     27878  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:27 AM  1001     27878  799.00    0.00    0.00    0.00  799.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:28 AM  1001     27878  527.00    0.00    0.00    0.00  527.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:29 AM  1001     27878  400.00    0.00    0.00    0.00  400.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:30 AM  1001     27878  400.00    0.00    0.00    0.00  400.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
04:25:31 AM  1001     27878  400.00    0.00    0.00    0.00  400.00     5      0.00      0.00 5041424 4982768  15.31     -1.00     -1.00     -1.00       0  vaultx

