----Run 1 for K=31, memory=4096 MB----
Linux 6.1.43-rockchip-rk3588 (orangepi5plus) 	07/02/2025 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:10 AM  1001     28390   16.00   58.00    0.00    0.00   74.00     4 362070.00      7.00 2630072 1449956   4.45     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:11 AM  1001     28390   26.00   74.00    0.00    0.00  100.00     4 540372.00      0.00 4595024 3611588  11.10     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:12 AM  1001     28390   24.00   76.00    0.00    0.00  100.00     4 543661.00      0.00 6571988 5786156  17.78     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:13 AM  1001     28390   17.00   82.00    0.00    0.00   99.00     4 544850.00      0.00 8553176 7965476  24.47     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:14 AM  1001     28390   23.00   78.00    0.00    0.00  101.00     4 546338.00      0.00 10539908 10150868  31.19     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:15 AM  1001     28390   20.00   80.00    0.00    0.00  100.00     4 546297.00      0.00 12526508 12335996  37.90     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:16 AM  1001     28390   26.00   74.00    0.00    0.00  100.00     4 520936.00      0.00 14420708 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:17 AM  1001     28390  713.00    0.00    0.00    0.00  713.00     4     24.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:18 AM  1001     28390  799.00    1.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:19 AM  1001     28390  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:20 AM  1001     28390  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:21 AM  1001     28390  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:22 AM  1001     28390  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:23 AM  1001     28390  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:24 AM  1001     28390  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:25 AM  1001     28390  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:26 AM  1001     28390  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:27 AM  1001     28390  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:28 AM  1001     28390  800.00    0.00    0.00    1.00  800.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:29 AM  1001     28390  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:30 AM  1001     28390  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:31 AM  1001     28390  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:32 AM  1001     28390  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:33 AM  1001     28390  787.00    0.00    0.00    2.00  787.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:34 AM  1001     28390  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:35 AM  1001     28390  799.00    0.00    0.00    1.00  799.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:36 AM  1001     28390  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
06:54:37 AM  1001     28390  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 14478632 14419748  44.30     -1.00     -1.00     -1.00       0  vaultx

