----Run 1 for K=31, memory=8192 MB----
Linux 6.1.43-rockchip-rk3588 (orangepi5plus) 	07/02/2025 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:30 AM  1001     28699    8.00   66.00    0.00    0.00   74.00     4 305292.00      6.00 2475368 1222948   3.76     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:31 AM  1001     28699   12.00   88.00    0.00    0.00  100.00     4 433045.00      0.00 4123388 2955052   9.08     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:32 AM  1001     28699   21.00   79.00    0.00    0.00  100.00     4 676983.00      0.00 6699896 5663164  17.40     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:33 AM  1001     28699   20.00   80.00    0.00    0.00  100.00     4 673710.00      0.00 9263864 8357812  25.68     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:34 AM  1001     28699   16.00   84.00    0.00    0.00  100.00     4 675375.00      0.00 11834300 11059324  33.98     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:35 AM  1001     28699   22.00   78.00    0.00    0.00  100.00     4 675906.00      0.00 14406584 13762948  42.29     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:36 AM  1001     28699   19.00   81.00    0.00    0.00  100.00     4 675605.00      0.00 16977812 16465516  50.59     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:37 AM  1001     28699   24.00   76.00    0.00    0.00  100.00     4 675952.00      0.00 19550492 19169140  58.90     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:38 AM  1001     28699   18.00   82.00    0.00    0.00  100.00     4 675724.00      0.00 22122116 21872236  67.20     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:39 AM  1001     28699   19.00   81.00    0.00    0.00  100.00     4 675362.00      0.00 24692420 24573484  75.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:40 AM  1001     28699   28.00   72.00    0.00    0.00  100.00     4 607295.00      0.00 27003740 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:41 AM  1001     28699  743.00    0.00    0.00    0.00  743.00     4     24.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:42 AM  1001     28699  799.00    1.00    0.00    0.00  800.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:43 AM  1001     28699  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:44 AM  1001     28699  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:45 AM  1001     28699  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:46 AM  1001     28699  799.00    0.00    0.00    1.00  799.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:47 AM  1001     28699  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:48 AM  1001     28699  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:49 AM  1001     28699  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:50 AM  1001     28699  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:51 AM  1001     28699  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:52 AM  1001     28699  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:53 AM  1001     28699  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:54 AM  1001     28699  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:55 AM  1001     28699  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:56 AM  1001     28699  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
08:12:57 AM  1001     28699  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 27061532 27002812  82.96     -1.00     -1.00     -1.00       0  vaultx

