----Run 1 for K=36, memory=1024 MB----
Linux 6.1.43-rockchip-rk3588 (orangepi5plus) 	07/07/2025 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:01 PM  1001     53199   31.00   67.00    0.00    0.00   98.00     4 288558.00      7.00 2147088 1155880   3.55     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:02 PM  1001     53199   29.00   71.00    0.00    0.00  100.00     4 336891.00      0.00 3120324 2503600   7.69     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:03 PM  1001     53199   29.00   71.00    0.00    0.00  100.00     4 340527.00      0.00 4103988 3865576  11.88     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:04 PM  1001     53199   57.00   43.00    0.00    0.00  100.00     4 213716.00      0.00 4721484 4720408  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:05 PM  1001     53199  791.00    0.00    0.00    0.00  791.00     4     24.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:06 PM  1001     53199  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:07 PM  1001     53199  800.00    1.00    0.00    0.00  801.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:08 PM  1001     53199  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:09 PM  1001     53199  798.00    0.00    0.00    0.00  798.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:10 PM  1001     53199  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:11 PM  1001     53199  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:12 PM  1001     53199  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:13 PM  1001     53199  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:14 PM  1001     53199  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:15 PM  1001     53199  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:16 PM  1001     53199  799.00    0.00    0.00    0.00  799.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:17 PM  1001     53199  800.00    0.00    0.00    1.00  800.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:18 PM  1001     53199  800.00    0.00    0.00    0.00  800.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:19 PM  1001     53199  747.00    0.00    0.00    0.00  747.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:20 PM  1001     53199  400.00    0.00    0.00    0.00  400.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:21 PM  1001     53199  400.00    0.00    0.00    0.00  400.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:22 PM  1001     53199  400.00    0.00    0.00    0.00  400.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:23 PM  1001     53199  400.00    0.00    0.00    0.00  400.00     4      0.00      0.00 4779276 4720672  14.50     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
----Run 2 for K=36, memory=1024 MB----
Linux 6.1.43-rockchip-rk3588 (orangepi5plus) 	07/07/2025 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:25 PM  1001     53215   34.00   65.00    0.00    0.00   99.00     4 295422.00      7.00 2166888 1183324   3.64     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:26 PM  1001     53215   28.00   72.00    0.00    0.00  100.00     4 335966.00      0.00 3137484 2527348   7.76     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:27 PM  1001     53215   31.00   69.00    0.00    0.00  100.00     4 339626.00      0.00 4118640 3885892  11.94     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
05:39:28 PM  1001     53215  130.00   42.00    0.00    0.00  172.00     4 208702.00      0.00 4779276 4720660  14.50     -1.00     -1.00     -1.00       0  vaultx

