----Run 1 for K=30, memory=4096 MB----
Linux 6.1.43-rockchip-rk3588 (orangepi5plus) 	07/01/2025 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:01 AM  1001     21230   14.00   84.00    0.00    0.00   98.00     5 398867.00      7.00 2763788 1597312   4.91     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:02 AM  1001     21230   25.00   76.00    0.00    0.00  101.00     5 637980.00      0.00 5083820 4149136  12.75     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:03 AM  1001     21230   24.00   76.00    0.00    0.00  100.00     5 610394.00      0.00 7303400 6590608  20.25     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:04 AM  1001     21230   22.00   77.00    0.00    0.00   99.00     5 605901.00      0.00 9506612 9014392  27.70     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:05 AM  1001     21230   24.00   76.00    0.00    0.00  100.00     5 606703.00      0.00 11712860 11441080  35.15     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:06 AM  1001     21230   28.00   72.00    0.00    0.00  100.00     5 606157.00      0.00 13916996 13865656  42.60     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:07 AM  1001     21230  502.00   18.00    0.00    0.00  520.00     5 138546.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:08 AM  1001     21230  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:09 AM  1001     21230  799.00    0.00    0.00    0.00  799.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:10 AM  1001     21230  799.00    0.00    0.00    0.00  799.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:11 AM  1001     21230  799.00    0.00    0.00    0.00  799.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:12 AM  1001     21230  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:13 AM  1001     21230  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:14 AM  1001     21230  799.00    0.00    0.00    1.00  799.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:15 AM  1001     21230  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:16 AM  1001     21230  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:17 AM  1001     21230  802.00    0.00    0.00    0.00  802.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:18 AM  1001     21230  799.00    0.00    0.00    0.00  799.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:19 AM  1001     21230  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:20 AM  1001     21230  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:21 AM  1001     21230  799.00    0.00    0.00    0.00  799.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:22 AM  1001     21230  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:23 AM  1001     21230  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:24 AM  1001     21230  799.00    0.00    0.00    0.00  799.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:25 AM  1001     21230  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:26 AM  1001     21230  800.00    0.00    0.00    1.00  800.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:27 AM  1001     21230  799.00    0.00    0.00    0.00  799.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
02:07:28 AM  1001     21230  800.00    0.00    0.00    0.00  800.00     5      0.00      0.00 14478632 14419792  44.30     -1.00     -1.00     -1.00       0  vaultx

