thread_count_r,k,buckets_u,buckets_v,temp_dir,final_dir,total_plot_time(s),total_plot_time(min),min_power,max_power,avg_power,total_energy(W),total_energy(kW),peak_memory(MB)
2,32,128,128,/nvme-raid0/sfatunmbi/temp,/nvme-raid0/sfatunmbi/plots,0,0.0000,N/A,N/A,N/A,N/A,N/A,3.05
2,32,128,128,/nfs_nvme/sfatunmbi/temp,/nfs_nvme/sfatunmbi/plots,7621,127.0167,N/A,N/A,N/A,N/A,N/A,5194.20
2,32,128,128,/data-m/sfatunmbi/temp,/data-m/sfatunmbi/plots,8517,141.9500,N/A,N/A,N/A,N/A,N/A,5374.05
4,32,128,128,/nfs_nvme/sfatunmbi/temp,/nfs_nvme/sfatunmbi/plots,5501,91.6833,N/A,N/A,N/A,N/A,N/A,5400.43
4,32,128,128,/data-m/sfatunmbi/temp,/data-m/sfatunmbi/plots,7927,132.1167,N/A,N/A,N/A,N/A,N/A,5509.15
8,32,128,128,/nfs_nvme/sfatunmbi/temp,/nfs_nvme/sfatunmbi/plots,4739,78.9833,N/A,N/A,N/A,N/A,N/A,6722.81
8,32,128,128,/data-m/sfatunmbi/temp,/data-m/sfatunmbi/plots,7911,131.8500,N/A,N/A,N/A,N/A,N/A,7436.68
16,32,128,128,/nfs_nvme/sfatunmbi/temp,/nfs_nvme/sfatunmbi/plots,3671,61.1833,N/A,N/A,N/A,N/A,N/A,14264.70
16,32,128,128,/data-m/sfatunmbi/temp,/data-m/sfatunmbi/plots,7636,127.2667,N/A,N/A,N/A,N/A,N/A,12919.25
32,32,128,128,/nfs_nvme/sfatunmbi/temp,/nfs_nvme/sfatunmbi/plots,3283,54.7167,N/A,N/A,N/A,N/A,N/A,25577.43
32,32,128,128,/data-m/sfatunmbi/temp,/data-m/sfatunmbi/plots,7472,124.5333,N/A,N/A,N/A,N/A,N/A,23980.64
64,32,128,128,/nfs_nvme/sfatunmbi/temp,/nfs_nvme/sfatunmbi/plots,3267,54.4500,N/A,N/A,N/A,N/A,N/A,42328.60
64,32,128,128,/data-m/sfatunmbi/temp,/data-m/sfatunmbi/plots,7749,129.1500,N/A,N/A,N/A,N/A,N/A,47710.39
128,32,128,128,/nfs_nvme/sfatunmbi/temp,/nfs_nvme/sfatunmbi/plots,3854,64.2333,N/A,N/A,N/A,N/A,N/A,77543.34
128,32,128,128,/data-m/sfatunmbi/temp,/data-m/sfatunmbi/plots,10131,168.8500,N/A,N/A,N/A,N/A,N/A,79416.09
