sweep_mode,target,k_value,file_count,file_size_bytes,t,r,keep_open,difficulty,previous_search,lookups,found,not_found,matches,open_close_ms,seek_ms,read_ms,hash_ms,avg_ms_per_lookup,avg_ms_per_lookup_per_file,total_ms,total_s,peak_memory_mb
t,/data-l/sfatunmbi/plots/,32,450,N/A,1,1,false,3,false,10,4500,0,1151398,30.0437,2428.7838,685.5227,45.1804,3189.5306,7.0878,31895.3059,31.895306,4.44
t,/data-l/sfatunmbi/plots/,32,450,N/A,1,1,true,3,false,10,4500,0,1151396,2.8223,1462.7268,1484.6753,44.1932,2994.4177,6.6543,29944.1772,29.944177,10.43
t,/data-l/sfatunmbi/plots/,32,450,N/A,2,1,false,3,false,10,4500,0,1151472,16.6542,1129.0149,1567.3874,22.9550,2736.0114,6.0800,27360.1145,27.360114,4.45
t,/data-l/sfatunmbi/plots/,32,450,N/A,2,1,true,3,false,10,4500,0,1151310,1.4317,1409.6019,2097.1392,22.9347,3531.1074,7.8469,35311.0744,35.311074,10.03
t,/data-l/sfatunmbi/plots/,32,450,N/A,4,1,false,3,false,10,4500,0,1151390,26.6074,1072.2037,1106.7934,11.3412,2216.9457,4.9265,22169.4567,22.169457,4.11
t,/data-l/sfatunmbi/plots/,32,450,N/A,4,1,true,3,false,10,4500,0,1151463,0.7559,1009.5068,2333.8257,11.7996,3355.8880,7.4575,33558.8804,33.558880,9.93
t,/data-l/sfatunmbi/plots/,32,450,N/A,8,1,false,3,false,10,4500,0,1151391,4.8410,1115.8710,834.0593,5.3191,1960.0903,4.3558,19600.9032,19.600903,4.34
t,/data-l/sfatunmbi/plots/,32,450,N/A,8,1,true,3,false,10,4500,0,1151362,0.3738,1922.9520,1304.0695,6.0477,3233.4431,7.1854,32334.4308,32.334431,9.59
t,/data-l/sfatunmbi/plots/,32,450,N/A,16,1,false,3,false,10,4500,0,1151322,6.7944,861.3644,1004.3360,2.8407,1875.3356,4.1674,18753.3560,18.753356,4.38
t,/data-l/sfatunmbi/plots/,32,450,N/A,16,1,true,3,false,10,4500,0,1151556,0.2111,1637.5723,1131.1691,3.2712,2772.2236,6.1605,27722.2359,27.722236,9.40
t,/data-l/sfatunmbi/plots/,32,450,N/A,32,1,false,3,false,10,4500,0,1151272,7.2632,818.6490,1180.8179,1.5367,2008.2669,4.4628,20082.6689,20.082669,4.48
t,/data-l/sfatunmbi/plots/,32,450,N/A,32,1,true,3,false,10,4500,0,1151319,0.1093,996.8929,1535.5290,1.6744,2534.2056,5.6316,25342.0556,25.342056,9.59
t,/data-l/sfatunmbi/plots/,32,450,N/A,64,1,false,3,false,10,4500,0,1151321,2.5480,908.6781,1736.2527,0.7955,2648.2743,5.8851,26482.7430,26.482743,4.60
t,/data-l/sfatunmbi/plots/,32,450,N/A,64,1,true,3,false,10,4500,0,1151291,0.0565,722.6410,1675.2973,0.8703,2398.8651,5.3308,23988.6507,23.988651,9.68
t,/data-l/sfatunmbi/plots/,32,450,N/A,128,1,false,3,false,10,4500,0,1151224,7.0836,1121.9060,1632.2324,0.4389,2761.6609,6.1370,27616.6090,27.616609,4.70
t,/data-l/sfatunmbi/plots/,32,450,N/A,128,1,true,3,false,10,4500,0,1151436,0.0344,1707.0714,901.9252,0.5309,2609.5619,5.7990,26095.6188,26.095619,9.91
