varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s,min_power_w,max_power_w,avg_power_w,total_energy_wh,total_energy_kwh
1,32,1,1,32.0,1024,1,99.94,120.17,5745.189945,95.75,50434.46,0.75,916,1299,1265,2018.7292,2.018729
2,32,2,1,32.0,1024,1,99.94,119.62,3324.142672,55.40,50434.50,1.29,918,1302,1269,1171.7100,1.171710
4,32,4,1,32.0,1024,1,99.94,119.07,1941.833035,32.36,50434.74,2.21,882,1365,1269,684.5550,0.684555
8,32,8,1,32.0,1024,1,99.94,116.15,1260.555137,21.01,50434.66,3.41,901,1370,1296,453.6000,0.453600
16,32,16,1,32.0,1024,1,99.94,117.12,782.968700,13.05,50435.08,5.49,882,1440,1293,281.2275,0.281228
32,32,32,1,32.0,1024,1,99.94,115.66,545.587020,9.09,50435.54,7.87,949,1549,1293,195.7458,0.195746
64,32,64,1,32.0,1024,1,99.94,116.08,426.210360,7.10,50436.36,10.08,886,1735,1288,152.4133,0.152413
128,32,128,1,32.0,1024,1,99.94,115.64,372.618432,6.21,50438.02,11.53,768,1990,1265,131.0681,0.131068
256,32,256,1,32.0,1024,1,99.94,112.84,351.823055,5.86,50441.64,12.21,902,2194,1257,122.9067,0.122907
384,32,384,1,32.0,1024,1,99.94,113.80,346.225359,5.77,50441.99,12.41,896,2300,1218,117.0633,0.117063
