varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s,min_power_w,max_power_w,avg_power_w,total_energy_wh,total_energy_kwh
1,32,1,1,32.0,1024,1,99.94,1006.90,5519.638448,91.99,50434.58,0.78,1041,1329,1289,1976.4667,1.976467
2,32,2,1,32.0,1024,1,99.94,795.65,3064.948633,51.08,50434.52,1.40,979,1328,1299,1105.9542,1.105954
4,32,4,1,32.0,1024,1,99.94,948.59,1703.770422,28.40,50434.54,2.52,971,1333,1310,620.0667,0.620067
8,32,8,1,32.0,1024,1,99.94,808.21,1020.471474,17.01,50434.77,4.21,1036,1388,1358,384.7667,0.384767
16,32,16,1,32.0,1024,1,99.94,785.01,546.210522,9.10,50434.90,7.86,1171,1451,1415,214.6083,0.214608
32,32,32,1,32.0,1024,1,99.94,728.82,308.627317,5.14,50435.32,13.92,1242,1551,1477,126.7758,0.126776
64,32,64,1,32.0,1024,1,99.94,765.88,190.264196,3.17,50436.22,22.57,1255,1757,1580,83.3889,0.083389
128,32,128,1,32.0,1024,1,99.94,711.06,135.709496,2.26,50438.06,31.65,1118,2023,1652,61.9500,0.061950
256,32,256,1,32.0,1024,1,99.94,656.06,113.704207,1.90,50441.64,37.77,1215,2189,1661,52.1369,0.052137
384,32,384,1,32.0,1024,1,99.94,728.68,106.389036,1.77,50445.30,40.37,1293,2324,1660,49.3389,0.049339
