thread_count_r,k,buckets_u,buckets_v,temp_dir,final_dir,total_plot_time(s),total_plot_time(min),min_power,max_power,avg_power,total_energy(W),total_energy(kW),peak_memory
8,32,128,128,/nvme-raid0/sfatunmbi/temp,/nvme-raid0/sfatunmbi/plots,3583.77,59.7295,1014,1511,1350,1344.0000,1.344000,6722.81
8,32,128,128,/ceph/sfatunmbi/temp,/ceph/sfatunmbi/plots,8338.92,138.9820,826,1506,1279,2963.3719,2.963372,7436.68
16,32,128,128,/nvme-raid0/sfatunmbi/temp,/nvme-raid0/sfatunmbi/plots,2097.68,34.9613,990,1555,1423,829.2928,0.829293,14264.70
16,32,128,128,/ceph/sfatunmbi/temp,/ceph/sfatunmbi/plots,6243.20,104.0533,996,1545,1293,2242.6367,2.242637,12919.25
32,32,128,128,/nvme-raid0/sfatunmbi/temp,/nvme-raid0/sfatunmbi/plots,1543.26,25.7211,1139,1681,1481,635.1844,0.635184,25577.43
32,32,128,128,/ceph/sfatunmbi/temp,/ceph/sfatunmbi/plots,3991.03,66.5171,918,1638,1337,1482.5844,1.482584,23980.64
64,32,128,128,/nvme-raid0/sfatunmbi/temp,/nvme-raid0/sfatunmbi/plots,1671.43,27.8572,1214,1689,1470,683.1417,0.683142,42328.60
64,32,128,128,/ceph/sfatunmbi/temp,/ceph/sfatunmbi/plots,5721.80,95.3634,849,1566,1287,2045.9725,2.045972,47710.39
128,32,128,128,/nvme-raid0/sfatunmbi/temp,/nvme-raid0/sfatunmbi/plots,2070.98,34.5163,1121,1797,1443,831.3283,0.831328,77543.34
128,32,128,128,/ceph/sfatunmbi/temp,/ceph/sfatunmbi/plots,4557.10,75.9516,941,1706,1315,1665.6667,1.665667,79416.09
256,32,128,128,/nvme-raid0/sfatunmbi/temp,/nvme-raid0/sfatunmbi/plots,3135.68,52.2614,1070,1808,1395,1217.5250,1.217525,102400.00
256,32,128,128,/ceph/sfatunmbi/temp,/ceph/sfatunmbi/plots,5100.45,85.0076,956,1739,1320,1872.2000,1.872200,98304.00
384,32,128,128,/nvme-raid0/sfatunmbi/temp,/nvme-raid0/sfatunmbi/plots,4074.03,67.9005,1049,1952,1372,1556.0767,1.556077,139264.00
384,32,128,128,/ceph/sfatunmbi/temp,/ceph/sfatunmbi/plots,6457.34,107.6223,990,1966,1304,2341.7667,2.341767,145920.00
