varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,1,1,32.0,1024,1,99.94,181.08,5586.787092,92.11,50434.66,0.77
2,32,2,1,32.0,1024,1,99.94,149.45,3169.249399,51.82,50434.61,1.36
4,32,4,1,32.0,1024,1,99.94,188.09,1852.109161,29.87,50434.57,2.32
8,32,8,1,32.0,1024,1,99.94,164.09,1162.227357,18.37,50434.78,3.70
16,32,16,1,32.0,1024,1,99.94,186.90,673.666864,11.23,50434.88,6.38
32,32,32,1,32.0,1024,1,99.94,183.46,441.192912,7.30,50435.33,9.73
64,32,64,1,32.0,1024,1,99.94,187.89,321.493955,5.00,50436.39,13.36
128,32,128,1,32.0,1024,1,99.95,190.38,260.591962,4.22,50438.23,16.48
256,32,256,1,32.0,1024,1,99.94,185.55,237.710131,3.87,50441.76,18.07
384,32,384,1,32.0,1024,1,99.94,178.62,244.069272,3.97,50445.28,17.80
