varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,1,1,32.0,1024,1,99.94,799.60,5670.335751,94.51,50434.56,0.76
2,32,2,1,32.0,1024,1,99.94,749.64,3033.056192,50.55,50434.52,1.42
4,32,4,1,32.0,1024,1,99.94,756.13,1522.368230,25.37,50434.57,2.82
8,32,8,1,32.0,1024,1,99.94,595.23,1004.404239,16.74,50434.68,4.28
16,32,16,1,32.0,1024,1,99.94,857.41,535.905950,8.93,50434.92,8.01
32,32,32,1,32.0,1024,1,99.94,711.90,308.273633,5.14,50435.35,13.93
64,32,64,1,32.0,1024,1,99.94,596.95,198.945959,3.32,50436.44,21.59
128,32,128,1,32.0,1024,1,99.94,663.43,137.305142,2.29,50438.21,31.28
256,32,256,1,32.0,1024,1,99.94,553.62,119.809263,2.00,50441.59,35.85
384,32,384,1,32.0,1024,1,99.94,695.44,106.414178,1.77,50445.20,40.36
