varying_threads,k,threads_compute,threads_io,file_size_gb,write_batch_mb,read_batch,storage_efficiency_pct,overall_io_throughput_mb_s,total_time_s,total_time_min,peak_memory_mb,total_throughput_mh_s
1,32,384,1,32.0,1024,1,99.94,977.58,91.441478,1.52,50418.64,46.97
2,32,384,2,32.0,1024,1,99.94,746.85,101.226191,1.69,50445.20,42.43
4,32,384,4,32.0,1024,1,99.94,715.61,106.332930,1.77,50445.30,40.39
8,32,384,8,32.0,1024,1,99.94,664.86,107.991196,1.80,50445.25,39.77
16,32,384,16,32.0,1024,1,99.94,614.91,112.541070,1.88,50445.34,38.16
32,32,384,32,32.0,1024,1,99.94,773.60,102.001387,1.70,50445.30,42.11
64,32,384,64,32.0,1024,1,99.94,792.88,101.139298,1.69,50445.19,42.47
128,32,384,128,32.0,1024,1,99.94,672.04,108.997691,1.82,50445.29,39.40
256,32,384,256,32.0,1024,1,99.94,691.87,106.863345,1.78,50445.31,40.19
384,32,384,384,32.0,1024,1,99.94,651.03,109.227085,1.82,50445.28,39.32
